Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 7356
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 1.51
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 220850
Generation 2: 220850
Generation 3: 220850
Generation 4: 220850
Generation 5: 220850
Generation 6: 220850
Generation 7: 220850
Generation 8: 220850
Generation 9: 220850
Generation 10: 220850
Generation 11: 220850
Generation 12: 220850
Generation 13: 220850
Generation 14: 220850
Generation 15: 220850
Generation 16: 220850
Generation 17: 220850
Generation 18: 220850
Generation 19: 220850
Generation 20: 220850
Generation 21: 220850
Generation 22: 220850
Generation 23: 220850
Generation 24: 220850
Generation 25: 220850
Generation 26: 220850
Generation 27: 220850
Generation 28: 220850
Generation 29: 220850
Generation 30: 220850
Generation 31: 220850
Generation 32: 220850
Generation 33: 220850
Generation 34: 220850
Generation 35: 220850
Generation 36: 220850
Generation 37: 220850
Generation 38: 220850
Generation 39: 220850
Generation 40: 220850
Generation 41: 220850
Generation 42: 220850
Generation 43: 220850
Generation 44: 220850
Generation 45: 220850
Generation 46: 220850
Generation 47: 220850
Generation 48: 220850
Generation 49: 220850
Generation 50: 220850
Generation 51: 220850
Generation 52: 220850
Generation 53: 220850
Generation 54: 220850
Generation 55: 220850
Generation 56: 220850
Generation 57: 220850
Generation 58: 220850
Generation 59: 220850
Generation 60: 220850
Generation 61: 220850
Generation 62: 220850
Generation 63: 220850
Generation 64: 220850
Generation 65: 210580
Generation 66: 210580
Generation 67: 210580
Generation 68: 210580
Generation 69: 210580
Generation 70: 210580
Generation 71: 210580
Generation 72: 210580
Generation 73: 210580
Generation 74: 210580
Generation 75: 210580
Generation 76: 210580
Generation 77: 210580
Generation 78: 210580
Generation 79: 210580
Generation 80: 210580
Generation 81: 210580
Generation 82: 210580
Generation 83: 210580
Generation 84: 210580
Generation 85: 210580
Generation 86: 210580
Generation 87: 180920
Generation 88: 180920
Generation 89: 180920
Generation 90: 180920
Generation 91: 180920
Generation 92: 180920
Generation 93: 180920
Generation 94: 180920
Generation 95: 180920
Generation 96: 180920
Generation 97: 180920
Generation 98: 180920
Generation 99: 180920
Generation 100: 180920
Generation 101: 180920
Generation 102: 180920
Generation 103: 180920
Generation 104: 180920
Generation 105: 180920
Generation 106: 180920
Generation 107: 180920
Generation 108: 180920
Generation 109: 180920
Generation 110: 180920
Generation 111: 180920
Generation 112: 180920
Generation 113: 180920
Generation 114: 180920
Generation 115: 180920
Generation 116: 180920
Generation 117: 180920
Generation 118: 180920
Generation 119: 180920
Generation 120: 180920
Generation 121: 180920
Generation 122: 180920
Generation 123: 180920
Generation 124: 180920
Generation 125: 180920
Generation 126: 180920
Generation 127: 180920
Generation 128: 180920
Generation 129: 180920
Generation 130: 180920
Generation 131: 180920
Generation 132: 180920
Generation 133: 180920
Generation 134: 180920
Generation 135: 180920
Generation 136: 180920
Generation 137: 180920
Generation 138: 180920
Generation 139: 180920
Generation 140: 180920
Generation 141: 180920
Generation 142: 180920
Generation 143: 180920
Generation 144: 180920
Generation 145: 180920
Generation 146: 180920
Generation 147: 180920
Generation 148: 180920
Generation 149: 180920
Generation 150: 180920
Generation 151: 180920
Generation 152: 180920
Generation 153: 180920
Generation 154: 180920
Generation 155: 180920
Generation 156: 180920
Generation 157: 180920
Generation 158: 180600
Generation 159: 180600
Generation 160: 180600
Generation 161: 180600
Generation 162: 180600
Generation 163: 180600
Generation 164: 180600
Generation 165: 180600
Generation 166: 180600
Generation 167: 180600
Generation 168: 180600
Generation 169: 180600
Generation 170: 180600
Generation 171: 180600
Generation 172: 180600
Generation 173: 180600
Generation 174: 180600
Generation 175: 180600
Generation 176: 180600
Generation 177: 180600
Generation 178: 180600
Generation 179: 180600
Generation 180: 180600
Generation 181: 180600
Generation 182: 180600
Generation 183: 180600
Generation 184: 180600
Generation 185: 180600
Generation 186: 180600
Generation 187: 180600
Generation 188: 180600
Generation 189: 180600
Generation 190: 180600
Generation 191: 180600
Generation 192: 180600
Generation 193: 180600
Generation 194: 180600
Generation 195: 180600
Generation 196: 180600
Generation 197: 180600
Generation 198: 180600
Generation 199: 180600
Generation 200: 180600
Generation 201: 180600
Generation 202: 180600
Generation 203: 180600
Generation 204: 180600
Generation 205: 180600
Generation 206: 180600
Generation 207: 180600
Generation 208: 180600
Generation 209: 180600
Generation 210: 180600
Generation 211: 180600
Generation 212: 180600
Generation 213: 180600
Generation 214: 180600
Generation 215: 180600
Generation 216: 180600
Generation 217: 180600
Generation 218: 180600
Generation 219: 180600
Generation 220: 180600
Generation 221: 180600
Generation 222: 180600
Generation 223: 180600
Generation 224: 180600
Generation 225: 180600
Generation 226: 180600
Generation 227: 180600
Generation 228: 180600
Generation 229: 180600
Generation 230: 180600
Generation 231: 180600
Generation 232: 180600
Generation 233: 180600
Generation 234: 180600
Generation 235: 180600
Generation 236: 180600
Generation 237: 180600
Generation 238: 180600
Generation 239: 180600
Generation 240: 180600
Generation 241: 180600
Generation 242: 180600
Generation 243: 180600
Generation 244: 180600
Generation 245: 180600
Generation 246: 180600
Generation 247: 180600
Generation 248: 180600
Generation 249: 180600
Generation 250: 180600
Generation 251: 180600
Generation 252: 180600
Generation 253: 180600
Generation 254: 180600
Generation 255: 180600
Generation 256: 180600
Generation 257: 180600
Generation 258: 180600
Generation 259: 180600
Generation 260: 180600
Generation 261: 180600
Generation 262: 180600
Generation 263: 180600
Generation 264: 180600
Generation 265: 180600
Generation 266: 180600
Generation 267: 180600
Generation 268: 180600
Generation 269: 180600
Generation 270: 180600
Generation 271: 180600
Generation 272: 180600
Generation 273: 180600
Generation 274: 180600
Generation 275: 180600
Generation 276: 180600
Generation 277: 180600
Generation 278: 180600
Generation 279: 180600
Generation 280: 180600
Generation 281: 180600
Generation 282: 180600
Generation 283: 170990
Generation 284: 170990
Generation 285: 170990
Generation 286: 170990
Generation 287: 170990
Generation 288: 170990
Generation 289: 170990
Generation 290: 170990
Generation 291: 170990
Generation 292: 170990
Generation 293: 170990
Generation 294: 170990
Generation 295: 170990
Generation 296: 170990
Generation 297: 170990
Generation 298: 170990
Generation 299: 170990
Generation 300: 170990
Generation 301: 170990
Generation 302: 170990
Generation 303: 170990
Generation 304: 170990
Generation 305: 170990
Generation 306: 170990
Generation 307: 170990
Generation 308: 170990
Generation 309: 170990
Generation 310: 170990
Generation 311: 170990
Generation 312: 170990
Generation 313: 170990
Generation 314: 170990
Generation 315: 170990
Generation 316: 170990
Generation 317: 170990
Generation 318: 170990
Generation 319: 170990
Generation 320: 170990
Generation 321: 170990
Generation 322: 170990
Generation 323: 170990
Generation 324: 170990
Generation 325: 170990
Generation 326: 170990
Generation 327: 170990
Generation 328: 170990
Generation 329: 170990
Generation 330: 170990
Generation 331: 170990
Generation 332: 170990
Generation 333: 170990
Generation 334: 170990
Generation 335: 170990
Generation 336: 170990
Generation 337: 170990
Generation 338: 170990
Generation 339: 170990
Generation 340: 170990
Generation 341: 170990
Generation 342: 170990
Generation 343: 170990
Generation 344: 170990
Generation 345: 160580
Generation 346: 160580
Generation 347: 160580
Generation 348: 160580
Generation 349: 160580
Generation 350: 160580
Generation 351: 160580
Generation 352: 160580
Generation 353: 160580
Generation 354: 160580
Generation 355: 160580
Generation 356: 160580
Generation 357: 160580
Generation 358: 160580
Generation 359: 160580
Generation 360: 160580
Generation 361: 160580
Generation 362: 160580
Generation 363: 160580
Generation 364: 160580
Generation 365: 160580
Generation 366: 160580
Generation 367: 160580
Generation 368: 160580
Generation 369: 160580
Generation 370: 160580
Generation 371: 160580
Generation 372: 160580
Generation 373: 160580
Generation 374: 160580
Generation 375: 160580
Generation 376: 160580
Generation 377: 160580
Generation 378: 160580
Generation 379: 160580
Generation 380: 160580
Generation 381: 160580
Generation 382: 160580
Generation 383: 160580
Generation 384: 160580
Generation 385: 160580
Generation 386: 160580
Generation 387: 160580
Generation 388: 160580
Generation 389: 160580
Generation 390: 160580
Generation 391: 160580
Generation 392: 160580
Generation 393: 160580
Generation 394: 160580
Generation 395: 160580
Generation 396: 160580
Generation 397: 160580
Generation 398: 160580
Generation 399: 160580
Generation 400: 160580
Generation 401: 160580
Generation 402: 160580
Generation 403: 160580
Generation 404: 160580
Generation 405: 160580
Generation 406: 160580
Generation 407: 160580
Generation 408: 160580
Generation 409: 160580
Generation 410: 160580
Generation 411: 160580
Generation 412: 160580
Generation 413: 160580
Generation 414: 160580
Generation 415: 160580
Generation 416: 160580
Generation 417: 160580
Generation 418: 160580
Generation 419: 160580
Generation 420: 160580
Generation 421: 160580
Generation 422: 160580
Generation 423: 160580
Generation 424: 160580
Generation 425: 160580
Generation 426: 160580
Generation 427: 160580
Generation 428: 160580
Generation 429: 160580
Generation 430: 160580
Generation 431: 160580
Generation 432: 160580
Generation 433: 160580
Generation 434: 160580
Generation 435: 160560
Generation 436: 160560
Generation 437: 160560
Generation 438: 160560
Generation 439: 160560
Generation 440: 160560
Generation 441: 160560
Generation 442: 160560
Generation 443: 160560
Generation 444: 160560
Generation 445: 160560
Generation 446: 160560
Generation 447: 160560
Generation 448: 160560
Generation 449: 160560
Generation 450: 160560
Generation 451: 160560
Generation 452: 160560
Generation 453: 160560
Generation 454: 160560
Generation 455: 160560
Generation 456: 160560
Generation 457: 160560
Generation 458: 160560
Generation 459: 160560
Generation 460: 160560
Generation 461: 160560
Generation 462: 160560
Generation 463: 160560
Generation 464: 160560
Generation 465: 160560
Generation 466: 160560
Generation 467: 160560
Generation 468: 160560
Generation 469: 160560
Generation 470: 160560
Generation 471: 160560
Generation 472: 160560
Generation 473: 160560
Generation 474: 160560
Generation 475: 160560
Generation 476: 160560
Generation 477: 160560
Generation 478: 160560
Generation 479: 160560
Generation 480: 160560
Generation 481: 160560
Generation 482: 160560
Generation 483: 150520
Generation 484: 150520
Generation 485: 150520
Generation 486: 150520
Generation 487: 150520
Generation 488: 150520
Generation 489: 150520
Generation 490: 150520
Generation 491: 150520
Generation 492: 150520
Generation 493: 150520
Generation 494: 150520
Generation 495: 150520
Generation 496: 150520
Generation 497: 150520
Generation 498: 150520
Generation 499: 150520
Generation 500: 150520
Generation 501: 150520
Generation 502: 150520
Generation 503: 150520
Generation 504: 150520
Generation 505: 150520
Generation 506: 150520
Generation 507: 150520
Generation 508: 150520
Generation 509: 150520
Generation 510: 150520
Generation 511: 150520
Generation 512: 150520
Generation 513: 150520
Generation 514: 150520
Generation 515: 150520
Generation 516: 150520
Generation 517: 150520
Generation 518: 150520
Generation 519: 150520
Generation 520: 150520
Generation 521: 150520
Generation 522: 150520
Generation 523: 150520
Generation 524: 150520
Generation 525: 150520
Generation 526: 150520
Generation 527: 150520
Generation 528: 150520
Generation 529: 150520
Generation 530: 120620
Generation 531: 120620
Generation 532: 120620
Generation 533: 120620
Generation 534: 120620
Generation 535: 120620
Generation 536: 120620
Generation 537: 120620
Generation 538: 120620
Generation 539: 120620
Generation 540: 120620
Generation 541: 120620
Generation 542: 120620
Generation 543: 120620
Generation 544: 120620
Generation 545: 120620
Generation 546: 120620
Generation 547: 120620
Generation 548: 120620
Generation 549: 120620
Generation 550: 120620
Generation 551: 120620
Generation 552: 120620
Generation 553: 120620
Generation 554: 120620
Generation 555: 120620
Generation 556: 120620
Generation 557: 120620
Generation 558: 120620
Generation 559: 120620
Generation 560: 120620
Generation 561: 120620
Generation 562: 120620
Generation 563: 120620
Generation 564: 120620
Generation 565: 120620
Generation 566: 120620
Generation 567: 120620
Generation 568: 120620
Generation 569: 120620
Generation 570: 120620
Generation 571: 120620
Generation 572: 120620
Generation 573: 120620
Generation 574: 120620
Generation 575: 120620
Generation 576: 120620
Generation 577: 120620
Generation 578: 120620
