Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 76792
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 12.77
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 190470
Generation 2: 190470
Generation 3: 190470
Generation 4: 190470
Generation 5: 190470
Generation 6: 190470
Generation 7: 190470
Generation 8: 190470
Generation 9: 190470
Generation 10: 190470
Generation 11: 190470
Generation 12: 190470
Generation 13: 190470
Generation 14: 190470
Generation 15: 190470
Generation 16: 190470
Generation 17: 190470
Generation 18: 190470
Generation 19: 190470
Generation 20: 190470
Generation 21: 190470
Generation 22: 190470
Generation 23: 190470
Generation 24: 190470
Generation 25: 190470
Generation 26: 190470
Generation 27: 190470
Generation 28: 190470
Generation 29: 190470
Generation 30: 190470
Generation 31: 190470
Generation 32: 190470
Generation 33: 190470
Generation 34: 190470
Generation 35: 190470
Generation 36: 190470
Generation 37: 190470
Generation 38: 190470
Generation 39: 190470
Generation 40: 190470
Generation 41: 190470
Generation 42: 190470
Generation 43: 190470
Generation 44: 190470
Generation 45: 190470
Generation 46: 190470
Generation 47: 190470
Generation 48: 190470
Generation 49: 190470
Generation 50: 190470
Generation 51: 190470
Generation 52: 190470
Generation 53: 190470
Generation 54: 190470
Generation 55: 190470
Generation 56: 190470
Generation 57: 190470
Generation 58: 190470
Generation 59: 190470
Generation 60: 190470
Generation 61: 190470
Generation 62: 190470
Generation 63: 190470
Generation 64: 190470
Generation 65: 190470
Generation 66: 190470
Generation 67: 180470
Generation 68: 180470
Generation 69: 180470
Generation 70: 180470
Generation 71: 180470
Generation 72: 180470
Generation 73: 180470
Generation 74: 180470
Generation 75: 180470
Generation 76: 180470
Generation 77: 180470
Generation 78: 180470
Generation 79: 180470
Generation 80: 180470
Generation 81: 180470
Generation 82: 180470
Generation 83: 180470
Generation 84: 180470
Generation 85: 180470
Generation 86: 180470
Generation 87: 180470
Generation 88: 180470
Generation 89: 180470
Generation 90: 180470
Generation 91: 180470
Generation 92: 180470
Generation 93: 180470
Generation 94: 180470
Generation 95: 180470
Generation 96: 180470
Generation 97: 180470
Generation 98: 180470
Generation 99: 180470
Generation 100: 180470
Generation 101: 180470
Generation 102: 180470
Generation 103: 180470
Generation 104: 180470
Generation 105: 180470
Generation 106: 180470
Generation 107: 180470
Generation 108: 180470
Generation 109: 180470
Generation 110: 160460
Generation 111: 160460
Generation 112: 160460
Generation 113: 160460
Generation 114: 160460
Generation 115: 160460
Generation 116: 160460
Generation 117: 160460
Generation 118: 160460
Generation 119: 160460
Generation 120: 160460
Generation 121: 160460
Generation 122: 160460
Generation 123: 160460
Generation 124: 160460
Generation 125: 160460
Generation 126: 160460
Generation 127: 160460
Generation 128: 160460
Generation 129: 160460
Generation 130: 160460
Generation 131: 160460
Generation 132: 160460
Generation 133: 160460
Generation 134: 160460
Generation 135: 160460
Generation 136: 160460
Generation 137: 160460
Generation 138: 160460
Generation 139: 160460
Generation 140: 160460
Generation 141: 160460
Generation 142: 160460
Generation 143: 160460
Generation 144: 160460
Generation 145: 160460
Generation 146: 160460
Generation 147: 160460
Generation 148: 160460
Generation 149: 160460
Generation 150: 160460
Generation 151: 160460
Generation 152: 160460
Generation 153: 160460
Generation 154: 160460
Generation 155: 160460
Generation 156: 160460
Generation 157: 160460
Generation 158: 160460
Generation 159: 160460
Generation 160: 160460
Generation 161: 160460
Generation 162: 160460
Generation 163: 160460
Generation 164: 160460
Generation 165: 160460
Generation 166: 160460
Generation 167: 160460
Generation 168: 160460
Generation 169: 160460
Generation 170: 160460
Generation 171: 130520
Generation 172: 130520
Generation 173: 130520
Generation 174: 130520
Generation 175: 130520
Generation 176: 130520
Generation 177: 130520
Generation 178: 130520
Generation 179: 130520
Generation 180: 130520
Generation 181: 130520
Generation 182: 130520
Generation 183: 130520
Generation 184: 130520
Generation 185: 130520
Generation 186: 130520
Generation 187: 130520
Generation 188: 130520
Generation 189: 130520
Generation 190: 130520
Generation 191: 130520
Generation 192: 130520
Generation 193: 130520
Generation 194: 130520
Generation 195: 130520
Generation 196: 130520
Generation 197: 130520
Generation 198: 130520
Generation 199: 130520
Generation 200: 130520
Generation 201: 130520
Generation 202: 130520
Generation 203: 130520
Generation 204: 130520
Generation 205: 130520
Generation 206: 130520
Generation 207: 130520
Generation 208: 130520
Generation 209: 130520
Generation 210: 130520
Generation 211: 130520
Generation 212: 130520
Generation 213: 130520
Generation 214: 130520
Generation 215: 130520
Generation 216: 130520
Generation 217: 130520
Generation 218: 130520
Generation 219: 130520
Generation 220: 130520
Generation 221: 130520
Generation 222: 130520
Generation 223: 130520
Generation 224: 130520
Generation 225: 130520
Generation 226: 130520
Generation 227: 130520
Generation 228: 130520
Generation 229: 130520
Generation 230: 130520
Generation 231: 130520
Generation 232: 130520
Generation 233: 130520
Generation 234: 130520
Generation 235: 130520
Generation 236: 130520
Generation 237: 130520
Generation 238: 130520
Generation 239: 130520
Generation 240: 130520
Generation 241: 130440
Generation 242: 130440
Generation 243: 130440
Generation 244: 130440
Generation 245: 130440
Generation 246: 130440
Generation 247: 130440
Generation 248: 130440
Generation 249: 130440
Generation 250: 130440
Generation 251: 130440
Generation 252: 130440
Generation 253: 130440
Generation 254: 130440
Generation 255: 130440
Generation 256: 130440
Generation 257: 130440
Generation 258: 130440
Generation 259: 130440
Generation 260: 130440
Generation 261: 130440
Generation 262: 130440
Generation 263: 130440
Generation 264: 130440
Generation 265: 130440
Generation 266: 130440
Generation 267: 130440
Generation 268: 130440
Generation 269: 130440
Generation 270: 130440
Generation 271: 130440
Generation 272: 130440
Generation 273: 130440
Generation 274: 130440
Generation 275: 130440
Generation 276: 120500
Generation 277: 120500
Generation 278: 120500
Generation 279: 120500
Generation 280: 120500
Generation 281: 120500
Generation 282: 120500
Generation 283: 120500
Generation 284: 120500
Generation 285: 120500
Generation 286: 120500
Generation 287: 120500
Generation 288: 120500
Generation 289: 120500
Generation 290: 120500
Generation 291: 120500
Generation 292: 120500
Generation 293: 120500
Generation 294: 120500
Generation 295: 120500
Generation 296: 120500
Generation 297: 120500
Generation 298: 120500
Generation 299: 120500
Generation 300: 120500
Generation 301: 120500
Generation 302: 120500
Generation 303: 120500
Generation 304: 120500
Generation 305: 120500
Generation 306: 120500
Generation 307: 90480
Generation 308: 90480
Generation 309: 90480
Generation 310: 90480
Generation 311: 90480
Generation 312: 90480
Generation 313: 90480
Generation 314: 90480
Generation 315: 90480
Generation 316: 90480
Generation 317: 90480
Generation 318: 90480
Generation 319: 90480
Generation 320: 90480
Generation 321: 90480
Generation 322: 90480
Generation 323: 90480
Generation 324: 90480
Generation 325: 90480
Generation 326: 90480
Generation 327: 90480
Generation 328: 90480
Generation 329: 90480
Generation 330: 90480
Generation 331: 90480
Generation 332: 90480
Generation 333: 90480
Generation 334: 90480
Generation 335: 90480
Generation 336: 90480
Generation 337: 90480
Generation 338: 90480
Generation 339: 90480
Generation 340: 90480
Generation 341: 90480
Generation 342: 90480
Generation 343: 90480
Generation 344: 90480
Generation 345: 90480
Generation 346: 90480
Generation 347: 90480
Generation 348: 90480
Generation 349: 90480
Generation 350: 90480
Generation 351: 90480
Generation 352: 90480
Generation 353: 90480
Generation 354: 90480
Generation 355: 90480
Generation 356: 90480
Generation 357: 90480
Generation 358: 90480
Generation 359: 90480
Generation 360: 90480
Generation 361: 90480
Generation 362: 90480
Generation 363: 90480
Generation 364: 90480
Generation 365: 90480
Generation 366: 90480
Generation 367: 90480
Generation 368: 90480
Generation 369: 90480
Generation 370: 90480
Generation 371: 90480
Generation 372: 60480
Generation 373: 60480
Generation 374: 60480
Generation 375: 60480
Generation 376: 60480
Generation 377: 60480
Generation 378: 60480
Generation 379: 60480
Generation 380: 60480
Generation 381: 60480
Generation 382: 60480
Generation 383: 60480
Generation 384: 60480
Generation 385: 60480
Generation 386: 60480
Generation 387: 60480
Generation 388: 60480
Generation 389: 60480
Generation 390: 60480
Generation 391: 60480
Generation 392: 60480
Generation 393: 60480
Generation 394: 60480
Generation 395: 60480
Generation 396: 60480
Generation 397: 60480
Generation 398: 60480
Generation 399: 60480
Generation 400: 60480
Generation 401: 60480
Generation 402: 60480
Generation 403: 60480
Generation 404: 60480
Generation 405: 60480
Generation 406: 60480
Generation 407: 60480
Generation 408: 60480
Generation 409: 60480
Generation 410: 60480
Generation 411: 60480
Generation 412: 60480
Generation 413: 60480
Generation 414: 60480
Generation 415: 60480
Generation 416: 60480
Generation 417: 60480
Generation 418: 60480
Generation 419: 60480
Generation 420: 60480
Generation 421: 60480
Generation 422: 60480
Generation 423: 60480
Generation 424: 60480
Generation 425: 60480
Generation 426: 60480
Generation 427: 60480
Generation 428: 60480
Generation 429: 60480
Generation 430: 60480
Generation 431: 60480
Generation 432: 60480
Generation 433: 60480
Generation 434: 60480
Generation 435: 60480
Generation 436: 60480
Generation 437: 60480
Generation 438: 60480
Generation 439: 60480
Generation 440: 60480
Generation 441: 60480
Generation 442: 60480
Generation 443: 60480
Generation 444: 60480
Generation 445: 60480
Generation 446: 60480
Generation 447: 60480
Generation 448: 60480
Generation 449: 60480
Generation 450: 60480
Generation 451: 60480
Generation 452: 60480
Generation 453: 60480
Generation 454: 60480
Generation 455: 60480
Generation 456: 60480
Generation 457: 60480
Generation 458: 60480
Generation 459: 60480
Generation 460: 60480
Generation 461: 60480
Generation 462: 60480
Generation 463: 60480
Generation 464: 60480
Generation 465: 60480
Generation 466: 60480
Generation 467: 60480
Generation 468: 60480
Generation 469: 60480
Generation 470: 60480
Generation 471: 60480
Generation 472: 60480
Generation 473: 60480
Generation 474: 60480
Generation 475: 60480
Generation 476: 60480
Generation 477: 50480
Generation 478: 50480
Generation 479: 50480
Generation 480: 50460
Generation 481: 50460
Generation 482: 50460
Generation 483: 50460
Generation 484: 50460
Generation 485: 50460
Generation 486: 50460
Generation 487: 50460
Generation 488: 50460
Generation 489: 50460
Generation 490: 50460
Generation 491: 50460
Generation 492: 50460
Generation 493: 50460
Generation 494: 50460
Generation 495: 50460
Generation 496: 50460
Generation 497: 50460
Generation 498: 50460
Generation 499: 50460
Generation 500: 50460
Generation 501: 50460
Generation 502: 50460
Generation 503: 50460
Generation 504: 50460
Generation 505: 50460
Generation 506: 50460
Generation 507: 50460
Generation 508: 50460
Generation 509: 50460
Generation 510: 50460
Generation 511: 50460
Generation 512: 50460
Generation 513: 50460
Generation 514: 50460
Generation 515: 50460
Generation 516: 50460
Generation 517: 50460
Generation 518: 50460
Generation 519: 50460
Generation 520: 50460
Generation 521: 50460
Generation 522: 50460
Generation 523: 50460
Generation 524: 50460
Generation 525: 50460
Generation 526: 50460
Generation 527: 50460
Generation 528: 50460
Generation 529: 50460
Generation 530: 50460
Generation 531: 50460
Generation 532: 50460
Generation 533: 50460
Generation 534: 50460
Generation 535: 50460
Generation 536: 50460
Generation 537: 50460
Generation 538: 50460
Generation 539: 50460
Generation 540: 50460
Generation 541: 50460
Generation 542: 50460
Generation 543: 50460
Generation 544: 50460
Generation 545: 50460
Generation 546: 50460
Generation 547: 50460
Generation 548: 50460
Generation 549: 50460
Generation 550: 50460
Generation 551: 50460
Generation 552: 50460
Generation 553: 50460
Generation 554: 50460
Generation 555: 50460
Generation 556: 50460
Generation 557: 50460
Generation 558: 30420
Generation 559: 30420
Generation 560: 30420
Generation 561: 30420
Generation 562: 30420
Generation 563: 30420
Generation 564: 30420
Generation 565: 30420
Generation 566: 30420
Generation 567: 30420
Generation 568: 30420
Generation 569: 30420
Generation 570: 30420
Generation 571: 30420
Generation 572: 30420
Generation 573: 30420
Generation 574: 30420
Generation 575: 30420
Generation 576: 30420
Generation 577: 30420
Generation 578: 30420
