Course: UCCM1353 - BASIC ALGEBRA

Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,----,"TUTORIAL - Ms Lim Shun Jinn at N1 (Groups: 2;7;12)","TUTORIAL - Ms Lim Shun Jinn at N2 (Groups: 5;10;15)",----,----,----
Tuesday,----,----,----,----,----,----,----,----,----,----
Wednesday,----,----,----,----,----,----,----,----,----,----
Thursday,----,"TUTORIAL - Ms Lim Shun Jinn at N1 (Groups: 4;9;14)",----,----,"TUTORIAL - Ms Lim Shun Jinn at N1 (Groups: 3;8;13)",----,----,----,"TUTORIAL - Ms Lim Shun Jinn at N1 (Groups: 1;6;11)",----
Friday,----,----,----,----,Prayer,Prayer,----,"LECTURE - Ms Lim Shun Jinn at L1 (Groups: 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15)","cont. at L1","cont. at L1"
