Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 15835
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 3.08
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 230410
Generation 2: 230410
Generation 3: 230410
Generation 4: 230410
Generation 5: 230410
Generation 6: 230410
Generation 7: 230410
Generation 8: 230410
Generation 9: 230410
Generation 10: 230410
Generation 11: 230410
Generation 12: 230410
Generation 13: 230410
Generation 14: 230410
Generation 15: 230410
Generation 16: 230410
Generation 17: 230410
Generation 18: 230410
Generation 19: 230410
Generation 20: 230410
Generation 21: 230410
Generation 22: 230410
Generation 23: 230410
Generation 24: 230410
Generation 25: 230410
Generation 26: 230410
Generation 27: 230410
Generation 28: 230410
Generation 29: 230410
Generation 30: 230410
Generation 31: 230410
Generation 32: 230410
Generation 33: 230410
Generation 34: 180740
Generation 35: 180740
Generation 36: 180740
Generation 37: 180740
Generation 38: 180740
Generation 39: 180740
Generation 40: 180740
Generation 41: 180740
Generation 42: 180740
Generation 43: 180740
Generation 44: 180740
Generation 45: 180740
Generation 46: 180740
Generation 47: 180740
Generation 48: 180740
Generation 49: 180740
Generation 50: 180740
Generation 51: 180740
Generation 52: 180740
Generation 53: 180740
Generation 54: 180740
Generation 55: 180740
Generation 56: 180740
Generation 57: 180740
Generation 58: 180740
Generation 59: 180740
Generation 60: 180740
Generation 61: 180740
Generation 62: 180740
Generation 63: 180740
Generation 64: 180740
Generation 65: 180740
Generation 66: 180740
Generation 67: 180740
Generation 68: 180740
Generation 69: 180740
Generation 70: 180740
Generation 71: 180740
Generation 72: 180740
Generation 73: 180740
Generation 74: 180740
Generation 75: 180740
Generation 76: 180740
Generation 77: 180740
Generation 78: 180740
Generation 79: 180740
Generation 80: 180740
Generation 81: 180740
Generation 82: 180740
Generation 83: 180740
Generation 84: 180740
Generation 85: 180740
Generation 86: 180740
Generation 87: 180740
Generation 88: 180740
Generation 89: 180740
Generation 90: 180740
Generation 91: 180740
Generation 92: 180740
Generation 93: 180740
Generation 94: 180740
Generation 95: 180740
Generation 96: 180740
Generation 97: 180740
Generation 98: 180740
Generation 99: 180740
Generation 100: 180740
Generation 101: 180740
Generation 102: 180740
Generation 103: 180740
Generation 104: 180740
Generation 105: 180740
Generation 106: 180740
Generation 107: 180740
Generation 108: 180740
Generation 109: 180740
Generation 110: 180740
Generation 111: 180740
Generation 112: 180740
Generation 113: 180740
Generation 114: 180740
Generation 115: 180740
Generation 116: 180740
Generation 117: 180740
Generation 118: 180740
Generation 119: 180740
Generation 120: 180740
Generation 121: 180740
Generation 122: 180740
Generation 123: 180740
Generation 124: 180740
Generation 125: 180740
Generation 126: 180740
Generation 127: 180740
Generation 128: 180740
Generation 129: 180740
Generation 130: 180740
Generation 131: 180740
Generation 132: 180740
Generation 133: 180740
Generation 134: 180740
Generation 135: 180740
Generation 136: 180740
Generation 137: 180740
Generation 138: 180740
Generation 139: 180740
Generation 140: 180740
Generation 141: 180740
Generation 142: 180740
Generation 143: 180740
Generation 144: 180740
Generation 145: 180740
Generation 146: 180740
Generation 147: 180740
Generation 148: 180740
Generation 149: 180740
Generation 150: 180740
Generation 151: 180740
Generation 152: 180740
Generation 153: 180740
Generation 154: 180740
Generation 155: 180740
Generation 156: 180740
Generation 157: 180740
Generation 158: 180740
Generation 159: 180740
Generation 160: 180740
Generation 161: 180740
Generation 162: 180740
Generation 163: 180740
Generation 164: 180740
Generation 165: 180740
Generation 166: 180740
Generation 167: 180740
Generation 168: 180740
Generation 169: 180740
Generation 170: 180740
Generation 171: 180740
Generation 172: 180740
Generation 173: 180740
Generation 174: 180740
Generation 175: 180740
Generation 176: 180740
Generation 177: 180740
Generation 178: 180740
Generation 179: 180740
Generation 180: 180740
Generation 181: 180740
Generation 182: 180740
Generation 183: 180740
Generation 184: 180740
Generation 185: 180740
Generation 186: 180740
Generation 187: 180740
Generation 188: 180740
Generation 189: 180740
Generation 190: 180740
Generation 191: 180740
Generation 192: 180740
Generation 193: 180740
Generation 194: 180740
Generation 195: 180740
Generation 196: 180740
Generation 197: 180740
Generation 198: 180740
Generation 199: 180740
Generation 200: 180740
Generation 201: 180740
Generation 202: 180740
Generation 203: 180740
Generation 204: 180740
Generation 205: 180740
Generation 206: 180740
Generation 207: 180740
Generation 208: 180740
Generation 209: 180740
Generation 210: 180740
Generation 211: 180740
Generation 212: 180740
Generation 213: 180740
Generation 214: 180740
Generation 215: 180740
Generation 216: 180740
Generation 217: 180740
Generation 218: 180740
Generation 219: 180740
Generation 220: 180740
Generation 221: 180740
Generation 222: 180740
Generation 223: 180740
Generation 224: 180740
Generation 225: 180740
Generation 226: 180740
Generation 227: 180740
Generation 228: 180740
Generation 229: 180740
Generation 230: 180740
Generation 231: 180740
Generation 232: 180740
Generation 233: 180740
Generation 234: 180740
Generation 235: 180740
Generation 236: 180740
Generation 237: 180740
Generation 238: 180740
Generation 239: 180740
Generation 240: 180740
Generation 241: 180740
Generation 242: 180740
Generation 243: 180740
Generation 244: 180740
Generation 245: 180740
Generation 246: 180740
Generation 247: 180740
Generation 248: 180740
Generation 249: 160420
Generation 250: 160420
Generation 251: 160420
Generation 252: 160420
Generation 253: 160420
Generation 254: 160420
Generation 255: 160420
Generation 256: 160420
Generation 257: 160420
Generation 258: 160420
Generation 259: 160420
Generation 260: 160420
Generation 261: 160420
Generation 262: 160420
Generation 263: 160420
Generation 264: 160420
Generation 265: 160420
Generation 266: 160420
Generation 267: 160420
Generation 268: 160420
Generation 269: 160420
Generation 270: 160420
Generation 271: 160420
Generation 272: 160420
Generation 273: 160420
Generation 274: 160420
Generation 275: 160420
Generation 276: 160420
Generation 277: 160420
Generation 278: 160420
Generation 279: 160420
Generation 280: 160420
Generation 281: 160420
Generation 282: 160420
Generation 283: 160420
Generation 284: 160420
Generation 285: 160420
Generation 286: 160420
Generation 287: 160420
Generation 288: 160420
Generation 289: 160420
Generation 290: 160420
Generation 291: 160420
Generation 292: 160420
Generation 293: 160420
Generation 294: 160420
Generation 295: 160420
Generation 296: 160420
Generation 297: 160420
Generation 298: 160420
Generation 299: 130500
Generation 300: 130500
Generation 301: 130500
Generation 302: 130500
Generation 303: 130500
Generation 304: 130500
Generation 305: 130500
Generation 306: 130500
Generation 307: 130500
Generation 308: 130500
Generation 309: 130500
Generation 310: 130500
Generation 311: 130500
Generation 312: 130500
Generation 313: 130500
Generation 314: 130500
Generation 315: 130500
Generation 316: 130500
Generation 317: 130500
Generation 318: 130500
Generation 319: 130500
Generation 320: 130500
Generation 321: 130500
Generation 322: 130500
Generation 323: 130500
Generation 324: 130500
Generation 325: 130500
Generation 326: 130500
Generation 327: 130500
Generation 328: 130500
Generation 329: 130500
Generation 330: 130500
Generation 331: 130500
Generation 332: 130500
Generation 333: 130500
Generation 334: 130500
Generation 335: 130500
Generation 336: 130500
Generation 337: 130500
Generation 338: 130500
Generation 339: 130500
Generation 340: 130500
Generation 341: 130500
Generation 342: 130500
Generation 343: 130500
Generation 344: 130500
Generation 345: 130500
Generation 346: 130500
Generation 347: 130500
Generation 348: 130500
Generation 349: 130500
Generation 350: 130500
Generation 351: 130500
Generation 352: 130500
Generation 353: 130500
Generation 354: 130500
Generation 355: 130500
Generation 356: 130500
Generation 357: 130500
Generation 358: 120560
Generation 359: 120560
Generation 360: 120560
Generation 361: 120560
Generation 362: 120560
Generation 363: 120560
Generation 364: 120560
Generation 365: 120560
Generation 366: 120560
Generation 367: 120560
Generation 368: 120560
Generation 369: 120560
Generation 370: 120560
Generation 371: 120560
Generation 372: 120560
Generation 373: 120560
Generation 374: 120560
Generation 375: 120560
Generation 376: 120560
Generation 377: 120560
Generation 378: 120560
Generation 379: 120560
Generation 380: 120560
Generation 381: 120560
Generation 382: 120560
Generation 383: 120560
Generation 384: 120560
Generation 385: 120560
Generation 386: 120560
Generation 387: 120560
Generation 388: 120560
Generation 389: 120560
Generation 390: 120560
Generation 391: 120560
Generation 392: 120560
Generation 393: 120560
Generation 394: 120560
Generation 395: 120560
Generation 396: 120560
Generation 397: 120560
Generation 398: 120560
Generation 399: 120560
Generation 400: 120560
Generation 401: 120560
Generation 402: 120560
Generation 403: 120560
Generation 404: 120560
Generation 405: 120560
Generation 406: 120560
Generation 407: 120560
Generation 408: 120560
Generation 409: 120560
Generation 410: 120560
Generation 411: 120560
Generation 412: 120560
Generation 413: 120560
Generation 414: 120560
Generation 415: 120560
Generation 416: 120560
Generation 417: 120560
Generation 418: 120560
Generation 419: 120560
Generation 420: 120560
Generation 421: 120560
Generation 422: 120560
Generation 423: 120560
Generation 424: 120560
Generation 425: 120560
Generation 426: 120560
Generation 427: 120560
Generation 428: 120560
Generation 429: 120560
Generation 430: 120560
Generation 431: 120560
Generation 432: 120560
Generation 433: 120560
Generation 434: 120560
Generation 435: 120560
Generation 436: 120560
Generation 437: 120560
Generation 438: 110570
Generation 439: 110530
Generation 440: 110530
Generation 441: 110530
Generation 442: 110530
Generation 443: 110530
Generation 444: 110530
Generation 445: 110530
Generation 446: 110530
Generation 447: 110530
Generation 448: 110530
Generation 449: 110530
Generation 450: 110530
Generation 451: 110530
Generation 452: 110530
Generation 453: 110530
Generation 454: 110530
Generation 455: 110530
Generation 456: 110530
Generation 457: 110530
Generation 458: 110530
Generation 459: 110530
Generation 460: 110530
Generation 461: 110530
Generation 462: 110530
Generation 463: 110530
Generation 464: 110530
Generation 465: 110530
Generation 466: 110530
Generation 467: 110530
Generation 468: 110530
Generation 469: 110530
Generation 470: 110530
Generation 471: 110530
Generation 472: 110530
Generation 473: 110530
Generation 474: 110530
Generation 475: 110530
Generation 476: 110530
Generation 477: 110530
Generation 478: 110530
Generation 479: 110530
Generation 480: 110530
Generation 481: 110530
Generation 482: 110530
Generation 483: 110530
Generation 484: 110530
Generation 485: 110530
Generation 486: 110530
Generation 487: 110530
Generation 488: 110530
Generation 489: 110530
Generation 490: 110530
Generation 491: 110530
Generation 492: 110530
Generation 493: 110530
Generation 494: 110530
Generation 495: 110530
Generation 496: 110530
Generation 497: 110530
Generation 498: 110530
Generation 499: 110530
Generation 500: 110530
Generation 501: 110530
Generation 502: 110530
Generation 503: 110530
Generation 504: 110530
Generation 505: 110530
Generation 506: 110530
Generation 507: 110530
Generation 508: 110530
Generation 509: 110530
Generation 510: 110530
Generation 511: 110530
Generation 512: 110530
Generation 513: 110530
Generation 514: 110530
Generation 515: 110530
Generation 516: 110530
Generation 517: 110530
Generation 518: 110530
Generation 519: 110530
Generation 520: 110530
Generation 521: 110530
Generation 522: 110530
Generation 523: 110530
Generation 524: 110530
Generation 525: 110530
Generation 526: 110530
Generation 527: 110530
Generation 528: 110530
Generation 529: 110530
Generation 530: 110530
Generation 531: 110530
Generation 532: 110530
Generation 533: 110530
Generation 534: 100580
Generation 535: 100580
Generation 536: 100580
Generation 537: 100580
Generation 538: 100580
Generation 539: 100580
Generation 540: 100580
Generation 541: 100580
Generation 542: 100580
Generation 543: 100420
Generation 544: 100420
Generation 545: 100420
Generation 546: 100420
Generation 547: 100420
Generation 548: 100420
Generation 549: 100420
Generation 550: 100420
Generation 551: 100420
Generation 552: 100420
Generation 553: 100420
Generation 554: 100420
Generation 555: 100420
Generation 556: 100420
Generation 557: 100420
Generation 558: 100420
Generation 559: 100420
Generation 560: 100420
Generation 561: 100420
Generation 562: 100420
Generation 563: 100420
Generation 564: 100420
Generation 565: 100420
Generation 566: 100420
Generation 567: 100420
Generation 568: 100420
Generation 569: 100420
Generation 570: 100420
Generation 571: 100420
Generation 572: 100420
Generation 573: 100420
Generation 574: 100420
Generation 575: 100420
Generation 576: 100420
Generation 577: 100420
Generation 578: 100420
