Course: UCCD2003 - OBJECT-ORIENTED SYSTEMS ANALYSIS AND DESIGN

Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,"LECTURE - Ts Dr Ku Chin Soon at L1 (Groups: 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15)","cont. at L1","cont. at L1",----,"TUTORIAL - Ts Dr Mogana a/p Vadiveloo at N1 (Groups: 1;6;11)",----,----,----,----
Tuesday,----,----,----,----,----,----,----,----,"TUTORIAL - Dr Tahayna Bashar M. A. at N1 (Groups: 5;10;15)",----
Wednesday,----,----,----,----,----,----,----,----,----,----
Thursday,----,----,"TUTORIAL - Cik Puteri Nursyawati Binti Azzuri at N1 (Groups: 3;8;13)",----,"TUTORIAL - Ts Dr Mogana a/p Vadiveloo at N1 (Groups: 4;9;14)",----,----,----,----,----
Friday,----,"TUTORIAL - Dr Tahayna Bashar M. A. at N1 (Groups: 2;7;12)",----,----,Prayer,Prayer,----,----,----,----
