Course: MPU3152 - PENGHAYATAN ETIKA DAN PERADABAN

Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,----,----,----,----,"LECTURE - Puan Sarah Binti Shamshul Anwar at L1 (Groups: 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15)","cont. at L1"
Tuesday,----,----,----,----,----,----,----,----,----,----
Wednesday,----,----,----,----,----,----,----,----,----,----
Thursday,----,----,----,----,----,----,----,----,----,----
Friday,----,----,----,----,Prayer,Prayer,----,----,----,----
