Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,----,----,----,----,UCCD1203 (PRACTICAL) - Puan Lyana Izzati Binti Mohd Asri,cont.
Tuesday,----,----,----,----,----,UCCD1203 (PRACTICAL) - Ts Saravanan a/l Subbiah,cont.,----,UCCD1203 (PRACTICAL) - Dr Altahir Abdalla Altahir Mohammed,cont.
Wednesday,----,----,----,----,----,----,----,----,----,----
Thursday,----,----,----,----,UCCD1203 (PRACTICAL) - Dr Zurida Binti Ishak,cont.,----,----,UCCD1203 (PRACTICAL) - Cik Norazira Binti A Jalil,cont.
Friday,----,UCCD1203 (PRACTICAL) - Cik Ana Nabilah Binti Sa'uadi,cont.,----,Prayer,Prayer,----,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,----
