Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 6967
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 1.37
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 210820
Generation 2: 210820
Generation 3: 210820
Generation 4: 210820
Generation 5: 210820
Generation 6: 210820
Generation 7: 210820
Generation 8: 210820
Generation 9: 210820
Generation 10: 210820
Generation 11: 210820
Generation 12: 210820
Generation 13: 210820
Generation 14: 210820
Generation 15: 210820
Generation 16: 210820
Generation 17: 210820
Generation 18: 210820
Generation 19: 210820
Generation 20: 210820
Generation 21: 210820
Generation 22: 210820
Generation 23: 210820
Generation 24: 210820
Generation 25: 210820
Generation 26: 210820
Generation 27: 210820
Generation 28: 210820
Generation 29: 210820
Generation 30: 210820
Generation 31: 210820
Generation 32: 210820
Generation 33: 210820
Generation 34: 210820
Generation 35: 210820
Generation 36: 210820
Generation 37: 210820
Generation 38: 210820
Generation 39: 210820
Generation 40: 210820
Generation 41: 210820
Generation 42: 210820
Generation 43: 210820
Generation 44: 210820
Generation 45: 210820
Generation 46: 210820
Generation 47: 210820
Generation 48: 210820
Generation 49: 210820
Generation 50: 210820
Generation 51: 210820
Generation 52: 210820
Generation 53: 210820
Generation 54: 210820
Generation 55: 210820
Generation 56: 210820
Generation 57: 210820
Generation 58: 210820
Generation 59: 210820
Generation 60: 210820
Generation 61: 210820
Generation 62: 210820
Generation 63: 210820
Generation 64: 210820
Generation 65: 210820
Generation 66: 210820
Generation 67: 210820
Generation 68: 210820
Generation 69: 210820
Generation 70: 210820
Generation 71: 210820
Generation 72: 210820
Generation 73: 210820
Generation 74: 210820
Generation 75: 210820
Generation 76: 210820
Generation 77: 210820
Generation 78: 210820
Generation 79: 210820
Generation 80: 210820
Generation 81: 210820
Generation 82: 210820
Generation 83: 210820
Generation 84: 210820
Generation 85: 210820
Generation 86: 210820
Generation 87: 210820
Generation 88: 210370
Generation 89: 210370
Generation 90: 210370
Generation 91: 210370
Generation 92: 210370
Generation 93: 210370
Generation 94: 210370
Generation 95: 210370
Generation 96: 210370
Generation 97: 210370
Generation 98: 210370
Generation 99: 210370
Generation 100: 210370
Generation 101: 210370
Generation 102: 210370
Generation 103: 210370
Generation 104: 210370
Generation 105: 210370
Generation 106: 210370
Generation 107: 210370
Generation 108: 210370
Generation 109: 210370
Generation 110: 210370
Generation 111: 210370
Generation 112: 210370
Generation 113: 210370
Generation 114: 210370
Generation 115: 210370
Generation 116: 210370
Generation 117: 210370
Generation 118: 210370
Generation 119: 210370
Generation 120: 210370
Generation 121: 210370
Generation 122: 210370
Generation 123: 210370
Generation 124: 210370
Generation 125: 210370
Generation 126: 210370
Generation 127: 210370
Generation 128: 210370
Generation 129: 210370
Generation 130: 210370
Generation 131: 210370
Generation 132: 210370
Generation 133: 210370
Generation 134: 210370
Generation 135: 210370
Generation 136: 210370
Generation 137: 210370
Generation 138: 210370
Generation 139: 210370
Generation 140: 210370
Generation 141: 210370
Generation 142: 210370
Generation 143: 210370
Generation 144: 210370
Generation 145: 210370
Generation 146: 210370
Generation 147: 210370
Generation 148: 210370
Generation 149: 210370
Generation 150: 210370
Generation 151: 210370
Generation 152: 210370
Generation 153: 210370
Generation 154: 210370
Generation 155: 210370
Generation 156: 210370
Generation 157: 210370
Generation 158: 210370
Generation 159: 210370
Generation 160: 210370
Generation 161: 210370
Generation 162: 210370
Generation 163: 210370
Generation 164: 210370
Generation 165: 210370
Generation 166: 210370
Generation 167: 210370
Generation 168: 210370
Generation 169: 210370
Generation 170: 210370
Generation 171: 210370
Generation 172: 210370
Generation 173: 210370
Generation 174: 210370
Generation 175: 210370
Generation 176: 210370
Generation 177: 210370
Generation 178: 210370
Generation 179: 210370
Generation 180: 210370
Generation 181: 210370
Generation 182: 210370
Generation 183: 210370
Generation 184: 210370
Generation 185: 210370
Generation 186: 210370
Generation 187: 210370
Generation 188: 200610
Generation 189: 200610
Generation 190: 200610
Generation 191: 200610
Generation 192: 200610
Generation 193: 200610
Generation 194: 200610
Generation 195: 190520
Generation 196: 190520
Generation 197: 190520
Generation 198: 190520
Generation 199: 190520
Generation 200: 190520
Generation 201: 190520
Generation 202: 190520
Generation 203: 190520
Generation 204: 190520
Generation 205: 190520
Generation 206: 190520
Generation 207: 190520
Generation 208: 190520
Generation 209: 190520
Generation 210: 190520
Generation 211: 190520
Generation 212: 190520
Generation 213: 190520
Generation 214: 190520
Generation 215: 190520
Generation 216: 190520
Generation 217: 190520
Generation 218: 190520
Generation 219: 190520
Generation 220: 190520
Generation 221: 190520
Generation 222: 190520
Generation 223: 190520
Generation 224: 190520
Generation 225: 190520
Generation 226: 190520
Generation 227: 190520
Generation 228: 190520
Generation 229: 190520
Generation 230: 190520
Generation 231: 190520
Generation 232: 190520
Generation 233: 190520
Generation 234: 190520
Generation 235: 190520
Generation 236: 190520
Generation 237: 190520
Generation 238: 190520
Generation 239: 190520
Generation 240: 190520
Generation 241: 190520
Generation 242: 190520
Generation 243: 190520
Generation 244: 190520
Generation 245: 170540
Generation 246: 170540
Generation 247: 170540
Generation 248: 170540
Generation 249: 170540
Generation 250: 170540
Generation 251: 170540
Generation 252: 170540
Generation 253: 170540
Generation 254: 170540
Generation 255: 170540
Generation 256: 170540
Generation 257: 170540
Generation 258: 170540
Generation 259: 170540
Generation 260: 170540
Generation 261: 170540
Generation 262: 170540
Generation 263: 170540
Generation 264: 170540
Generation 265: 170540
Generation 266: 170540
Generation 267: 170540
Generation 268: 170540
Generation 269: 170540
Generation 270: 170540
Generation 271: 170540
Generation 272: 170540
Generation 273: 170520
Generation 274: 170520
Generation 275: 170520
Generation 276: 170520
Generation 277: 170520
Generation 278: 170520
Generation 279: 170520
Generation 280: 170520
Generation 281: 170520
Generation 282: 150770
Generation 283: 150770
Generation 284: 150770
Generation 285: 150770
Generation 286: 150770
Generation 287: 150770
Generation 288: 150770
Generation 289: 150770
Generation 290: 150770
Generation 291: 150770
Generation 292: 150770
Generation 293: 150770
Generation 294: 150770
Generation 295: 150770
Generation 296: 150770
Generation 297: 150770
Generation 298: 150770
Generation 299: 150770
Generation 300: 150770
Generation 301: 150770
Generation 302: 150770
Generation 303: 150770
Generation 304: 150770
Generation 305: 150770
Generation 306: 150770
Generation 307: 150770
Generation 308: 150770
Generation 309: 150770
Generation 310: 150770
Generation 311: 150770
Generation 312: 150770
Generation 313: 150770
Generation 314: 150770
Generation 315: 150770
Generation 316: 150770
Generation 317: 150770
Generation 318: 150770
Generation 319: 150770
Generation 320: 150770
Generation 321: 150770
Generation 322: 150770
Generation 323: 150770
Generation 324: 150770
Generation 325: 150770
Generation 326: 150770
Generation 327: 150770
Generation 328: 150770
Generation 329: 150770
Generation 330: 150770
Generation 331: 150770
Generation 332: 150770
Generation 333: 150770
Generation 334: 150770
Generation 335: 150770
Generation 336: 150770
Generation 337: 150770
Generation 338: 150770
Generation 339: 150770
Generation 340: 150770
Generation 341: 150770
Generation 342: 150770
Generation 343: 150770
Generation 344: 150770
Generation 345: 150770
Generation 346: 150770
Generation 347: 150770
Generation 348: 150770
Generation 349: 150770
Generation 350: 150770
Generation 351: 150770
Generation 352: 150770
Generation 353: 150770
Generation 354: 150770
Generation 355: 150770
Generation 356: 130600
Generation 357: 130600
Generation 358: 130600
Generation 359: 130600
Generation 360: 130600
Generation 361: 130600
Generation 362: 130600
Generation 363: 130600
Generation 364: 130600
Generation 365: 130600
Generation 366: 130600
Generation 367: 130600
Generation 368: 130600
Generation 369: 130600
Generation 370: 130600
Generation 371: 130600
Generation 372: 130600
Generation 373: 130600
Generation 374: 130600
Generation 375: 130600
Generation 376: 130600
Generation 377: 130600
Generation 378: 130600
Generation 379: 130600
Generation 380: 130600
Generation 381: 130600
Generation 382: 130600
Generation 383: 130600
Generation 384: 130600
Generation 385: 130600
Generation 386: 130600
Generation 387: 130600
Generation 388: 130600
Generation 389: 130600
Generation 390: 130600
Generation 391: 130600
Generation 392: 130600
Generation 393: 130600
Generation 394: 130600
Generation 395: 130600
Generation 396: 130600
Generation 397: 130600
Generation 398: 130600
Generation 399: 130600
Generation 400: 130600
Generation 401: 130600
Generation 402: 130600
Generation 403: 130600
Generation 404: 130600
Generation 405: 130600
Generation 406: 130600
Generation 407: 130600
Generation 408: 130600
Generation 409: 130530
Generation 410: 130530
Generation 411: 130530
Generation 412: 130530
Generation 413: 130530
Generation 414: 130530
Generation 415: 130530
Generation 416: 130530
Generation 417: 130530
Generation 418: 130530
Generation 419: 130530
Generation 420: 130530
Generation 421: 130530
Generation 422: 130530
Generation 423: 130530
Generation 424: 130530
Generation 425: 130530
Generation 426: 130530
Generation 427: 130530
Generation 428: 130530
Generation 429: 130530
Generation 430: 130530
Generation 431: 130530
Generation 432: 110770
Generation 433: 110770
Generation 434: 110770
Generation 435: 110770
Generation 436: 110770
Generation 437: 110770
Generation 438: 110770
Generation 439: 110770
Generation 440: 110770
Generation 441: 110770
Generation 442: 110770
Generation 443: 110770
Generation 444: 110770
Generation 445: 110770
Generation 446: 110770
Generation 447: 110770
Generation 448: 110770
Generation 449: 110770
Generation 450: 110770
Generation 451: 110770
Generation 452: 110770
Generation 453: 110770
Generation 454: 110770
Generation 455: 110770
Generation 456: 110770
Generation 457: 110770
Generation 458: 110770
Generation 459: 110770
Generation 460: 110770
Generation 461: 110770
Generation 462: 110770
Generation 463: 110770
Generation 464: 110770
Generation 465: 110770
Generation 466: 110770
Generation 467: 110770
Generation 468: 110770
Generation 469: 110770
Generation 470: 110770
Generation 471: 110770
Generation 472: 110770
Generation 473: 110770
Generation 474: 110770
Generation 475: 110770
Generation 476: 110770
Generation 477: 110770
Generation 478: 110770
Generation 479: 110770
Generation 480: 110770
Generation 481: 110770
Generation 482: 110770
Generation 483: 110770
Generation 484: 110770
Generation 485: 110770
Generation 486: 110770
Generation 487: 110770
Generation 488: 110770
Generation 489: 110770
Generation 490: 110770
Generation 491: 110770
Generation 492: 110770
Generation 493: 110770
Generation 494: 110770
Generation 495: 110770
Generation 496: 110770
Generation 497: 110770
Generation 498: 110770
Generation 499: 110770
Generation 500: 110770
Generation 501: 110770
Generation 502: 110770
Generation 503: 110770
Generation 504: 110770
Generation 505: 110770
Generation 506: 110770
Generation 507: 110770
Generation 508: 110770
Generation 509: 110770
Generation 510: 110770
Generation 511: 110770
Generation 512: 110770
Generation 513: 110770
Generation 514: 110770
Generation 515: 110770
Generation 516: 110770
Generation 517: 110770
Generation 518: 110770
Generation 519: 110770
Generation 520: 110770
Generation 521: 110770
Generation 522: 110770
Generation 523: 110770
Generation 524: 110770
Generation 525: 110770
Generation 526: 110770
Generation 527: 110770
Generation 528: 110770
Generation 529: 110770
Generation 530: 110770
Generation 531: 110770
Generation 532: 110770
Generation 533: 110770
Generation 534: 110770
Generation 535: 110770
Generation 536: 110770
Generation 537: 110770
Generation 538: 110770
Generation 539: 110770
Generation 540: 110770
Generation 541: 110770
Generation 542: 110770
Generation 543: 110770
Generation 544: 110770
Generation 545: 110770
Generation 546: 110770
Generation 547: 110500
Generation 548: 110500
Generation 549: 110410
Generation 550: 110410
Generation 551: 110410
Generation 552: 110410
Generation 553: 110410
Generation 554: 110410
Generation 555: 110410
Generation 556: 110410
Generation 557: 110410
Generation 558: 100420
Generation 559: 100420
Generation 560: 100420
Generation 561: 100420
Generation 562: 100410
Generation 563: 100410
Generation 564: 100410
Generation 565: 100410
Generation 566: 100410
Generation 567: 100410
Generation 568: 100410
Generation 569: 100410
Generation 570: 100410
Generation 571: 100410
Generation 572: 100410
Generation 573: 100410
Generation 574: 100410
Generation 575: 100410
Generation 576: 100410
Generation 577: 100410
Generation 578: 100410
