Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,UCCM1353 (LECTURE) - Ms Lim Shun Jinn,cont.,cont.,----,----,----,----,----,----,----
Tuesday,----,----,----,----,----,UCCM1363 (LECTURE) - Dr Nur Amalina Binti Mat Jan,cont.,cont.,----,----
Wednesday,MPU3152 (LECTURE) - Puan Sarah Binti Shamshul Anwar,cont.,----,----,----,----,UCCD1203 (LECTURE) - Cik Norazira Binti A Jalil,cont.,----,----
Thursday,UCCD2003 (LECTURE) - Ts Dr Ku Chin Soon,cont.,cont.,----,----,----,----,----,----,----
Friday,----,----,----,----,Prayer,Prayer,UCCD1024 (LECTURE) - Ts Dr Goh Chuan Meng,cont.,cont.,----
