Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 4063
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 0.73
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 230630
Generation 2: 230630
Generation 3: 230630
Generation 4: 230630
Generation 5: 210790
Generation 6: 210790
Generation 7: 210790
Generation 8: 210790
Generation 9: 210790
Generation 10: 210790
Generation 11: 210790
Generation 12: 210790
Generation 13: 210790
Generation 14: 210790
Generation 15: 210790
Generation 16: 210790
Generation 17: 210790
Generation 18: 210790
Generation 19: 210790
Generation 20: 210790
Generation 21: 210790
Generation 22: 210790
Generation 23: 210790
Generation 24: 210790
Generation 25: 210790
Generation 26: 210790
Generation 27: 210790
Generation 28: 210790
Generation 29: 210790
Generation 30: 210790
Generation 31: 210790
Generation 32: 210790
Generation 33: 210790
Generation 34: 210790
Generation 35: 210790
Generation 36: 210790
Generation 37: 210790
Generation 38: 210790
Generation 39: 210790
Generation 40: 210790
Generation 41: 210790
Generation 42: 210790
Generation 43: 210790
Generation 44: 210790
Generation 45: 210790
Generation 46: 210790
Generation 47: 210790
Generation 48: 210790
Generation 49: 210790
Generation 50: 210790
Generation 51: 210790
Generation 52: 210790
Generation 53: 210790
Generation 54: 210790
Generation 55: 210790
Generation 56: 210790
Generation 57: 210790
Generation 58: 210790
Generation 59: 210790
Generation 60: 210790
Generation 61: 210790
Generation 62: 210790
Generation 63: 210790
Generation 64: 210790
Generation 65: 210790
Generation 66: 210790
Generation 67: 210790
Generation 68: 210790
Generation 69: 210790
Generation 70: 210790
Generation 71: 210790
Generation 72: 210790
Generation 73: 210790
Generation 74: 210790
Generation 75: 210790
Generation 76: 210790
Generation 77: 210790
Generation 78: 210790
Generation 79: 210790
Generation 80: 210790
Generation 81: 210790
Generation 82: 210790
Generation 83: 210790
Generation 84: 210790
Generation 85: 210790
Generation 86: 210790
Generation 87: 210790
Generation 88: 210790
Generation 89: 210790
Generation 90: 210790
Generation 91: 210790
Generation 92: 210790
Generation 93: 210790
Generation 94: 210790
Generation 95: 210790
Generation 96: 210790
Generation 97: 210790
Generation 98: 210790
Generation 99: 210790
Generation 100: 210790
Generation 101: 210790
Generation 102: 210790
Generation 103: 210790
Generation 104: 210790
Generation 105: 210790
Generation 106: 210790
Generation 107: 210790
Generation 108: 210790
Generation 109: 210790
Generation 110: 210790
Generation 111: 210790
Generation 112: 210790
Generation 113: 210790
Generation 114: 210790
Generation 115: 210790
Generation 116: 210790
Generation 117: 210790
Generation 118: 210790
Generation 119: 210790
Generation 120: 210790
Generation 121: 210790
Generation 122: 210790
Generation 123: 210790
Generation 124: 210790
Generation 125: 210790
Generation 126: 210790
Generation 127: 210790
Generation 128: 210790
Generation 129: 210790
Generation 130: 210790
Generation 131: 210790
Generation 132: 210790
Generation 133: 210790
Generation 134: 210790
Generation 135: 210790
Generation 136: 210790
Generation 137: 210790
Generation 138: 210790
Generation 139: 210790
Generation 140: 210790
Generation 141: 210790
Generation 142: 210790
Generation 143: 210790
Generation 144: 210790
Generation 145: 210790
Generation 146: 210790
Generation 147: 210790
Generation 148: 210790
Generation 149: 210790
Generation 150: 210790
Generation 151: 210790
Generation 152: 210790
Generation 153: 210790
Generation 154: 210790
Generation 155: 210790
Generation 156: 210790
Generation 157: 210790
Generation 158: 210790
Generation 159: 210790
Generation 160: 210790
Generation 161: 210790
Generation 162: 210790
Generation 163: 210790
Generation 164: 210790
Generation 165: 210790
Generation 166: 210790
Generation 167: 210790
Generation 168: 210790
Generation 169: 210790
Generation 170: 210790
Generation 171: 210790
Generation 172: 210790
Generation 173: 210790
Generation 174: 210790
Generation 175: 210790
Generation 176: 210790
Generation 177: 210790
Generation 178: 210790
Generation 179: 210790
Generation 180: 210790
Generation 181: 210790
Generation 182: 210790
Generation 183: 210790
Generation 184: 210790
Generation 185: 210790
Generation 186: 210790
Generation 187: 210790
Generation 188: 210790
Generation 189: 210790
Generation 190: 210790
Generation 191: 210790
Generation 192: 210790
Generation 193: 210790
Generation 194: 210790
Generation 195: 210790
Generation 196: 210790
Generation 197: 210790
Generation 198: 210790
Generation 199: 210790
Generation 200: 210790
Generation 201: 210790
Generation 202: 210790
Generation 203: 210790
Generation 204: 210790
Generation 205: 210790
Generation 206: 210790
Generation 207: 210650
Generation 208: 210650
Generation 209: 210650
Generation 210: 210650
Generation 211: 210650
Generation 212: 210650
Generation 213: 210650
Generation 214: 210650
Generation 215: 210650
Generation 216: 210650
Generation 217: 210650
Generation 218: 210650
Generation 219: 210650
Generation 220: 210650
Generation 221: 210650
Generation 222: 210650
Generation 223: 210650
Generation 224: 210650
Generation 225: 210650
Generation 226: 210650
Generation 227: 210650
Generation 228: 210650
Generation 229: 210650
Generation 230: 210650
Generation 231: 210650
Generation 232: 210650
Generation 233: 210650
Generation 234: 210650
Generation 235: 210650
Generation 236: 210650
Generation 237: 210650
Generation 238: 210650
Generation 239: 210650
Generation 240: 210650
Generation 241: 210650
Generation 242: 210650
Generation 243: 210650
Generation 244: 210650
Generation 245: 210650
Generation 246: 210650
Generation 247: 210650
Generation 248: 210650
Generation 249: 210650
Generation 250: 210650
Generation 251: 210650
Generation 252: 210650
Generation 253: 210650
Generation 254: 170830
Generation 255: 170830
Generation 256: 170830
Generation 257: 170830
Generation 258: 170830
Generation 259: 170830
Generation 260: 170830
Generation 261: 170830
Generation 262: 170830
Generation 263: 170830
Generation 264: 170830
Generation 265: 170830
Generation 266: 170830
Generation 267: 170830
Generation 268: 170830
Generation 269: 170830
Generation 270: 170830
Generation 271: 170830
Generation 272: 170830
Generation 273: 170830
Generation 274: 170830
Generation 275: 170830
Generation 276: 170830
Generation 277: 170830
Generation 278: 170830
Generation 279: 170830
Generation 280: 170830
Generation 281: 170830
Generation 282: 170830
Generation 283: 170830
Generation 284: 170830
Generation 285: 170830
Generation 286: 170830
Generation 287: 170830
Generation 288: 170830
Generation 289: 170830
Generation 290: 170830
Generation 291: 170830
Generation 292: 170830
Generation 293: 170830
Generation 294: 170830
Generation 295: 170830
Generation 296: 170830
Generation 297: 170830
Generation 298: 170830
Generation 299: 170830
Generation 300: 170830
Generation 301: 170830
Generation 302: 170830
Generation 303: 170830
Generation 304: 170830
Generation 305: 170830
Generation 306: 170830
Generation 307: 170830
Generation 308: 170830
Generation 309: 170830
Generation 310: 170830
Generation 311: 170830
Generation 312: 170830
Generation 313: 170830
Generation 314: 170830
Generation 315: 170830
Generation 316: 170830
Generation 317: 170830
Generation 318: 170830
Generation 319: 170830
Generation 320: 170830
Generation 321: 170830
Generation 322: 170830
Generation 323: 170830
Generation 324: 170830
Generation 325: 170830
Generation 326: 170830
Generation 327: 170830
Generation 328: 170830
Generation 329: 170830
Generation 330: 170830
Generation 331: 170830
Generation 332: 170830
Generation 333: 170830
Generation 334: 170830
Generation 335: 170830
Generation 336: 170830
Generation 337: 170830
Generation 338: 170830
Generation 339: 170830
Generation 340: 170790
Generation 341: 170790
Generation 342: 170790
Generation 343: 170790
Generation 344: 170690
Generation 345: 170690
Generation 346: 170690
Generation 347: 170690
Generation 348: 170690
Generation 349: 170690
Generation 350: 170690
Generation 351: 170690
Generation 352: 170690
Generation 353: 170690
Generation 354: 170690
Generation 355: 170690
Generation 356: 170690
Generation 357: 170690
Generation 358: 170690
Generation 359: 170690
Generation 360: 170690
Generation 361: 170690
Generation 362: 170690
Generation 363: 170690
Generation 364: 170690
Generation 365: 170690
Generation 366: 170690
Generation 367: 170690
Generation 368: 170690
Generation 369: 170690
Generation 370: 170690
Generation 371: 170690
Generation 372: 170690
Generation 373: 170690
Generation 374: 170690
Generation 375: 170690
Generation 376: 170690
Generation 377: 170690
Generation 378: 170690
Generation 379: 170690
Generation 380: 170690
Generation 381: 170690
Generation 382: 170690
Generation 383: 160730
Generation 384: 160730
Generation 385: 160730
Generation 386: 160730
Generation 387: 160730
Generation 388: 160730
Generation 389: 160730
Generation 390: 160730
Generation 391: 160730
Generation 392: 160730
Generation 393: 160730
Generation 394: 160730
Generation 395: 160730
Generation 396: 160730
Generation 397: 160730
Generation 398: 160730
Generation 399: 160730
Generation 400: 160730
Generation 401: 160730
Generation 402: 160730
Generation 403: 160730
Generation 404: 140780
Generation 405: 140780
Generation 406: 140780
Generation 407: 140780
Generation 408: 140780
Generation 409: 140780
Generation 410: 140780
Generation 411: 140780
Generation 412: 140780
Generation 413: 140780
Generation 414: 140780
Generation 415: 140780
Generation 416: 140780
Generation 417: 140780
Generation 418: 140780
Generation 419: 140780
Generation 420: 140780
Generation 421: 140780
Generation 422: 140780
Generation 423: 140780
Generation 424: 140780
Generation 425: 140780
Generation 426: 140780
Generation 427: 140780
Generation 428: 140780
Generation 429: 140780
Generation 430: 140780
Generation 431: 140780
Generation 432: 140780
Generation 433: 140780
Generation 434: 140780
Generation 435: 140780
Generation 436: 140780
Generation 437: 120770
Generation 438: 120770
Generation 439: 120770
Generation 440: 120770
Generation 441: 120770
Generation 442: 120770
Generation 443: 120770
Generation 444: 120770
Generation 445: 120770
Generation 446: 120770
Generation 447: 120770
Generation 448: 120770
Generation 449: 120770
Generation 450: 120770
Generation 451: 120770
Generation 452: 120770
Generation 453: 120770
Generation 454: 120770
Generation 455: 120770
Generation 456: 120770
Generation 457: 110720
Generation 458: 110720
Generation 459: 110720
Generation 460: 110720
Generation 461: 110720
Generation 462: 110720
Generation 463: 110720
Generation 464: 110720
Generation 465: 110720
Generation 466: 110720
Generation 467: 110720
Generation 468: 110720
Generation 469: 110720
Generation 470: 110720
Generation 471: 110720
Generation 472: 110720
Generation 473: 110720
Generation 474: 110720
Generation 475: 110720
Generation 476: 110720
Generation 477: 110720
Generation 478: 110720
Generation 479: 110720
Generation 480: 110720
Generation 481: 110720
Generation 482: 110720
Generation 483: 110720
Generation 484: 110720
Generation 485: 110720
Generation 486: 110720
Generation 487: 110660
Generation 488: 110660
Generation 489: 110660
Generation 490: 110660
Generation 491: 110660
Generation 492: 110660
Generation 493: 110660
Generation 494: 110660
Generation 495: 110660
Generation 496: 110660
Generation 497: 110660
Generation 498: 110660
Generation 499: 110660
Generation 500: 110660
Generation 501: 110660
Generation 502: 110660
Generation 503: 110660
Generation 504: 110660
Generation 505: 110660
Generation 506: 110660
Generation 507: 110660
Generation 508: 110660
Generation 509: 110660
Generation 510: 110660
Generation 511: 110660
Generation 512: 110660
Generation 513: 100700
Generation 514: 100700
Generation 515: 100700
Generation 516: 100700
Generation 517: 100700
Generation 518: 100700
Generation 519: 100700
Generation 520: 100700
Generation 521: 100700
Generation 522: 100700
Generation 523: 100700
Generation 524: 100700
Generation 525: 100700
Generation 526: 100700
Generation 527: 100700
Generation 528: 100700
Generation 529: 100700
Generation 530: 100700
Generation 531: 100700
Generation 532: 100700
Generation 533: 100700
Generation 534: 100700
Generation 535: 100700
Generation 536: 100700
Generation 537: 100700
Generation 538: 70800
Generation 539: 70800
Generation 540: 70800
Generation 541: 70800
Generation 542: 70800
Generation 543: 70800
Generation 544: 70800
Generation 545: 70800
Generation 546: 70800
Generation 547: 70800
Generation 548: 70800
Generation 549: 70800
Generation 550: 70800
Generation 551: 70800
Generation 552: 70800
Generation 553: 70800
Generation 554: 70800
Generation 555: 70800
Generation 556: 70800
Generation 557: 70800
Generation 558: 70800
Generation 559: 70800
Generation 560: 70700
Generation 561: 70700
Generation 562: 70700
Generation 563: 70700
Generation 564: 60700
Generation 565: 60700
Generation 566: 60700
Generation 567: 60700
Generation 568: 60700
Generation 569: 60700
Generation 570: 60700
Generation 571: 60700
Generation 572: 60700
Generation 573: 60700
Generation 574: 60700
Generation 575: 60700
Generation 576: 60700
Generation 577: 60700
Generation 578: 60700
