Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,UCCD2003 (LECTURE) - Ts Dr Ku Chin Soon,cont.,cont.,----,----,----,----,MPU3152 (LECTURE) - Puan Sarah Binti Shamshul Anwar,cont.
Tuesday,UCCD1024 (LECTURE) - Ts Dr Goh Chuan Meng,cont.,cont.,----,----,UCCD1203 (LECTURE) - Cik Norazira Binti A Jalil,cont.,----,----,----
Wednesday,----,UCCM1353 (LECTURE) - Ms Lim Shun Jinn,cont.,cont.,----,----,----,----,----,----
Thursday,----,----,----,----,----,----,UCCM1363 (LECTURE) - Dr Nur Amalina Binti Mat Jan,cont.,cont.,----
Friday,----,----,----,----,Prayer,Prayer,----,----,----,----
