Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,----,UCCD2003 (TUTORIAL) - Ts Dr Mogana a/p Vadiveloo,----,----,----,----
Tuesday,----,----,----,----,----,----,----,----,UCCD2003 (TUTORIAL) - Dr Tahayna Bashar M. A.,----
Wednesday,----,----,----,----,----,UCCM1363 (TUTORIAL) - Ms Song Poh Choo,----,----,----,----
Thursday,----,----,UCCD2003 (TUTORIAL) - Cik Puteri Nursyawati Binti Azzuri,----,UCCD2003 (TUTORIAL) - Ts Dr Mogana a/p Vadiveloo,----,----,----,----,----
Friday,----,UCCD2003 (TUTORIAL) - Dr Tahayna Bashar M. A.,----,----,Prayer,Prayer,UCCM1363 (TUTORIAL) - Dr Nur Amalina Binti Mat Jan,----,UCCM1353 (TUTORIAL) - Ms Lim Shun Jinn,UCCM1363 (TUTORIAL) - Ms Song Poh Choo
