Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,----,UCCD1203 (PRACTICAL) - Dr Zurida Binti Ishak,cont.,----,----,----
Tuesday,----,----,----,----,----,----,----,----,UCCD1203 (PRACTICAL) - Cik Norazira Binti A Jalil,cont.
Wednesday,----,----,----,----,----,UCCD1203 (PRACTICAL) - Dr Altahir Abdalla Altahir Mohammed,cont.,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,----
Thursday,----,UCCD1024 (PRACTICAL) - Ts Lai Siew Cheng,cont.,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,----,----,----,----,----
Friday,----,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,----,Prayer,Prayer,UCCD1203 (PRACTICAL) - Dr Altahir Abdalla Altahir Mohammed,cont.,----,----
