Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 5641
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 1.28
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 280700
Generation 2: 280700
Generation 3: 280700
Generation 4: 280700
Generation 5: 280700
Generation 6: 280700
Generation 7: 280700
Generation 8: 280700
Generation 9: 280700
Generation 10: 280700
Generation 11: 280700
Generation 12: 280700
Generation 13: 280700
Generation 14: 280700
Generation 15: 280700
Generation 16: 280700
Generation 17: 280700
Generation 18: 280700
Generation 19: 280700
Generation 20: 280700
Generation 21: 280700
Generation 22: 280700
Generation 23: 280700
Generation 24: 280700
Generation 25: 280700
Generation 26: 280700
Generation 27: 280700
Generation 28: 280610
Generation 29: 280610
Generation 30: 280610
Generation 31: 280550
Generation 32: 280550
Generation 33: 280550
Generation 34: 280550
Generation 35: 280550
Generation 36: 280550
Generation 37: 280550
Generation 38: 280550
Generation 39: 280550
Generation 40: 280550
Generation 41: 280550
Generation 42: 280550
Generation 43: 280550
Generation 44: 280550
Generation 45: 280550
Generation 46: 280550
Generation 47: 190930
Generation 48: 190930
Generation 49: 190930
Generation 50: 190930
Generation 51: 170940
Generation 52: 170940
Generation 53: 170940
Generation 54: 170940
Generation 55: 170940
Generation 56: 170940
Generation 57: 170940
Generation 58: 170940
Generation 59: 170940
Generation 60: 170940
Generation 61: 170940
Generation 62: 170940
Generation 63: 170940
Generation 64: 170940
Generation 65: 170940
Generation 66: 170940
Generation 67: 170940
Generation 68: 170940
Generation 69: 170940
Generation 70: 170940
Generation 71: 170940
Generation 72: 170940
Generation 73: 170940
Generation 74: 170940
Generation 75: 170940
Generation 76: 170940
Generation 77: 170940
Generation 78: 170940
Generation 79: 170940
Generation 80: 170940
Generation 81: 170940
Generation 82: 170940
Generation 83: 170940
Generation 84: 170940
Generation 85: 170940
Generation 86: 170940
Generation 87: 170940
Generation 88: 170940
Generation 89: 170940
Generation 90: 170940
Generation 91: 170940
Generation 92: 170940
Generation 93: 170940
Generation 94: 170940
Generation 95: 170940
Generation 96: 170940
Generation 97: 170940
Generation 98: 170940
Generation 99: 170940
Generation 100: 170900
Generation 101: 170900
Generation 102: 170900
Generation 103: 170900
Generation 104: 170900
Generation 105: 170900
Generation 106: 170900
Generation 107: 170900
Generation 108: 170900
Generation 109: 170900
Generation 110: 170900
Generation 111: 170900
Generation 112: 170900
Generation 113: 170900
Generation 114: 170900
Generation 115: 170900
Generation 116: 170900
Generation 117: 170900
Generation 118: 170900
Generation 119: 170900
Generation 120: 170900
Generation 121: 170900
Generation 122: 170900
Generation 123: 170900
Generation 124: 170900
Generation 125: 170900
Generation 126: 170900
Generation 127: 170900
Generation 128: 170900
Generation 129: 170900
Generation 130: 170900
Generation 131: 170900
Generation 132: 170900
Generation 133: 170900
Generation 134: 170900
Generation 135: 170900
Generation 136: 170900
Generation 137: 170900
Generation 138: 170900
Generation 139: 170900
Generation 140: 170900
Generation 141: 170900
Generation 142: 170900
Generation 143: 170900
Generation 144: 170900
Generation 145: 170900
Generation 146: 170900
Generation 147: 170900
Generation 148: 170900
Generation 149: 170900
Generation 150: 170900
Generation 151: 170900
Generation 152: 170900
Generation 153: 170900
Generation 154: 170900
Generation 155: 170900
Generation 156: 170900
Generation 157: 170900
Generation 158: 170900
Generation 159: 170900
Generation 160: 170900
Generation 161: 170900
Generation 162: 170900
Generation 163: 170900
Generation 164: 170900
Generation 165: 170900
Generation 166: 170900
Generation 167: 170900
Generation 168: 170900
Generation 169: 170900
Generation 170: 170900
Generation 171: 170900
Generation 172: 170900
Generation 173: 150770
Generation 174: 150770
Generation 175: 150770
Generation 176: 150770
Generation 177: 150770
Generation 178: 150770
Generation 179: 150770
Generation 180: 150770
Generation 181: 150770
Generation 182: 150770
Generation 183: 150770
Generation 184: 150770
Generation 185: 150770
Generation 186: 150770
Generation 187: 150770
Generation 188: 150770
Generation 189: 150770
Generation 190: 150770
Generation 191: 150770
Generation 192: 150770
Generation 193: 150770
Generation 194: 150770
Generation 195: 150770
Generation 196: 150770
Generation 197: 150770
Generation 198: 150770
Generation 199: 150770
Generation 200: 150770
Generation 201: 150770
Generation 202: 150770
Generation 203: 150770
Generation 204: 150770
Generation 205: 150770
Generation 206: 150770
Generation 207: 150770
Generation 208: 150770
Generation 209: 150770
Generation 210: 150770
Generation 211: 150770
Generation 212: 150770
Generation 213: 150770
Generation 214: 150770
Generation 215: 150770
Generation 216: 150770
Generation 217: 150770
Generation 218: 150770
Generation 219: 150770
Generation 220: 150770
Generation 221: 111050
Generation 222: 111050
Generation 223: 111050
Generation 224: 111050
Generation 225: 111050
Generation 226: 111050
Generation 227: 111050
Generation 228: 111050
Generation 229: 111050
Generation 230: 111050
Generation 231: 111050
Generation 232: 111050
Generation 233: 111050
Generation 234: 111050
Generation 235: 111050
Generation 236: 111050
Generation 237: 111050
Generation 238: 111050
Generation 239: 111050
Generation 240: 111050
Generation 241: 111050
Generation 242: 111050
Generation 243: 111050
Generation 244: 111050
Generation 245: 111050
Generation 246: 111050
Generation 247: 111050
Generation 248: 111050
Generation 249: 111050
Generation 250: 111050
Generation 251: 111050
Generation 252: 111050
Generation 253: 111050
Generation 254: 111050
Generation 255: 111050
Generation 256: 111050
Generation 257: 111050
Generation 258: 111050
Generation 259: 111050
Generation 260: 111050
Generation 261: 111050
Generation 262: 111050
Generation 263: 111050
Generation 264: 111050
Generation 265: 111050
Generation 266: 111050
Generation 267: 111050
Generation 268: 111050
Generation 269: 111050
Generation 270: 111050
Generation 271: 111050
Generation 272: 111050
Generation 273: 111050
Generation 274: 111050
Generation 275: 111050
Generation 276: 111050
Generation 277: 111050
Generation 278: 111050
Generation 279: 111050
Generation 280: 111050
Generation 281: 111050
Generation 282: 111050
Generation 283: 111050
Generation 284: 111050
Generation 285: 111050
Generation 286: 111050
Generation 287: 111050
Generation 288: 101190
Generation 289: 101190
Generation 290: 101190
Generation 291: 101190
Generation 292: 101190
Generation 293: 101190
Generation 294: 101190
Generation 295: 101190
Generation 296: 101190
Generation 297: 101190
Generation 298: 101190
Generation 299: 101190
Generation 300: 101190
Generation 301: 101190
Generation 302: 101190
Generation 303: 101190
Generation 304: 101190
Generation 305: 101190
Generation 306: 101190
Generation 307: 101190
Generation 308: 101190
Generation 309: 101190
Generation 310: 90870
Generation 311: 90870
Generation 312: 90870
Generation 313: 90870
Generation 314: 90870
Generation 315: 90870
Generation 316: 90870
Generation 317: 90870
Generation 318: 90870
Generation 319: 90870
Generation 320: 90870
Generation 321: 90870
Generation 322: 90870
Generation 323: 90870
Generation 324: 90870
Generation 325: 90870
Generation 326: 90870
Generation 327: 90870
Generation 328: 90870
Generation 329: 90870
Generation 330: 90870
Generation 331: 90870
Generation 332: 90870
Generation 333: 90870
Generation 334: 90870
Generation 335: 90870
Generation 336: 90870
Generation 337: 90870
Generation 338: 90870
Generation 339: 90870
Generation 340: 90870
Generation 341: 90870
Generation 342: 90870
Generation 343: 90870
Generation 344: 90870
Generation 345: 90870
Generation 346: 90870
Generation 347: 90870
Generation 348: 90870
Generation 349: 90870
Generation 350: 90870
Generation 351: 90870
Generation 352: 90870
Generation 353: 90870
Generation 354: 90870
Generation 355: 90870
Generation 356: 90870
Generation 357: 90870
Generation 358: 90870
Generation 359: 90870
Generation 360: 90870
Generation 361: 90870
Generation 362: 90870
Generation 363: 90870
Generation 364: 90870
Generation 365: 90870
Generation 366: 90870
Generation 367: 90870
Generation 368: 90870
Generation 369: 90870
Generation 370: 90870
Generation 371: 50590
Generation 372: 50590
Generation 373: 50590
Generation 374: 50590
Generation 375: 50590
Generation 376: 50590
Generation 377: 50590
Generation 378: 50590
Generation 379: 50590
Generation 380: 50590
Generation 381: 50590
Generation 382: 50590
Generation 383: 50590
Generation 384: 50590
Generation 385: 50590
Generation 386: 50590
Generation 387: 50590
Generation 388: 50590
Generation 389: 50590
Generation 390: 50590
Generation 391: 50590
Generation 392: 50590
Generation 393: 50590
Generation 394: 50590
Generation 395: 50590
Generation 396: 50590
Generation 397: 50590
Generation 398: 50590
Generation 399: 50590
Generation 400: 50590
Generation 401: 50590
Generation 402: 40680
Generation 403: 40680
Generation 404: 40680
Generation 405: 40680
Generation 406: 40680
Generation 407: 40680
Generation 408: 40680
Generation 409: 40680
Generation 410: 40680
Generation 411: 40680
Generation 412: 40680
Generation 413: 40680
Generation 414: 40680
Generation 415: 40680
Generation 416: 40680
Generation 417: 40680
Generation 418: 40680
Generation 419: 40680
Generation 420: 40680
Generation 421: 40680
Generation 422: 40680
Generation 423: 40680
Generation 424: 40680
Generation 425: 40680
Generation 426: 40680
Generation 427: 40680
Generation 428: 40680
Generation 429: 40680
Generation 430: 40680
Generation 431: 40680
Generation 432: 40680
Generation 433: 40680
Generation 434: 40680
Generation 435: 40680
Generation 436: 40680
Generation 437: 40680
Generation 438: 40680
Generation 439: 40680
Generation 440: 40680
Generation 441: 40680
Generation 442: 40680
Generation 443: 30540
Generation 444: 30540
Generation 445: 30540
Generation 446: 30540
Generation 447: 30540
Generation 448: 30540
Generation 449: 30540
Generation 450: 30540
Generation 451: 30540
Generation 452: 30540
Generation 453: 30540
Generation 454: 30540
Generation 455: 30540
Generation 456: 30540
Generation 457: 30540
Generation 458: 30540
Generation 459: 30540
Generation 460: 30540
Generation 461: 30540
Generation 462: 20540
Generation 463: 20540
Generation 464: 20540
Generation 465: 20540
Generation 466: 20540
Generation 467: 20540
Generation 468: 20540
Generation 469: 20540
Generation 470: 20540
Generation 471: 20540
Generation 472: 20540
Generation 473: 20540
Generation 474: 20540
Generation 475: 20540
Generation 476: 20540
Generation 477: 20540
Generation 478: 20540
Generation 479: 20540
Generation 480: 20540
Generation 481: 20540
Generation 482: 20540
Generation 483: 20540
Generation 484: 20540
Generation 485: 20540
Generation 486: 20540
Generation 487: 20540
Generation 488: 20540
Generation 489: 20540
Generation 490: 20540
Generation 491: 20540
Generation 492: 20540
Generation 493: 20540
Generation 494: 20540
Generation 495: 20540
Generation 496: 20540
Generation 497: 20540
Generation 498: 20540
Generation 499: 20540
Generation 500: 20540
Generation 501: 20540
Generation 502: 20540
Generation 503: 20540
Generation 504: 20540
Generation 505: 20540
Generation 506: 20540
Generation 507: 20540
Generation 508: 20540
Generation 509: 20540
Generation 510: 20540
Generation 511: 20540
Generation 512: 20540
Generation 513: 20540
Generation 514: 20540
Generation 515: 20540
Generation 516: 20540
Generation 517: 20540
Generation 518: 20540
Generation 519: 20540
Generation 520: 20540
Generation 521: 20540
Generation 522: 20540
Generation 523: 20540
Generation 524: 20540
Generation 525: 20540
Generation 526: 20540
Generation 527: 20540
Generation 528: 20540
Generation 529: 20540
Generation 530: 20540
Generation 531: 20540
Generation 532: 20540
Generation 533: 20540
Generation 534: 20540
Generation 535: 20540
Generation 536: 20540
Generation 537: 20540
Generation 538: 20540
Generation 539: 20540
Generation 540: 20540
Generation 541: 20540
Generation 542: 20540
Generation 543: 20540
Generation 544: 20540
Generation 545: 20540
Generation 546: 20540
Generation 547: 20540
Generation 548: 20540
Generation 549: 20540
Generation 550: 20540
Generation 551: 20540
Generation 552: 20540
Generation 553: 20540
Generation 554: 20540
Generation 555: 20540
Generation 556: 20540
Generation 557: 20540
Generation 558: 20540
Generation 559: 20540
Generation 560: 20540
Generation 561: 20540
Generation 562: 20540
Generation 563: 20540
Generation 564: 20540
Generation 565: 20540
Generation 566: 20540
Generation 567: 20540
Generation 568: 20540
Generation 569: 20540
Generation 570: 20540
Generation 571: 20540
Generation 572: 20540
Generation 573: 20540
Generation 574: 20540
Generation 575: 20540
Generation 576: 20540
Generation 577: 20540
Generation 578: 20540
