Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,----,----,----,----,----,----
Tuesday,UCCD1203 (PRACTICAL) - Dr Altahir Abdalla Altahir Mohammed,cont.,UCCD1024 (PRACTICAL) - Ts Lai Siew Cheng,cont.,----,UCCD1203 (PRACTICAL) - Puan Lyana Izzati Binti Mohd Asri,cont.,----,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.
Wednesday,----,----,----,----,----,----,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,UCCD1203 (PRACTICAL) - Cik Norazira Binti A Jalil,cont.
Thursday,----,UCCD1024 (PRACTICAL) - Ts Lai Siew Cheng,cont.,----,----,----,----,----,----,----
Friday,UCCD1203 (PRACTICAL) - Cik Ana Nabilah Binti Sa'uadi,cont.,----,----,Prayer,Prayer,----,----,----,----
