Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 6245
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 1.19
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 190490
Generation 2: 190490
Generation 3: 190490
Generation 4: 190490
Generation 5: 190490
Generation 6: 190490
Generation 7: 190490
Generation 8: 190490
Generation 9: 190490
Generation 10: 190490
Generation 11: 190490
Generation 12: 190490
Generation 13: 190490
Generation 14: 190490
Generation 15: 190490
Generation 16: 190490
Generation 17: 190490
Generation 18: 190490
Generation 19: 190490
Generation 20: 190490
Generation 21: 190490
Generation 22: 190490
Generation 23: 190490
Generation 24: 190490
Generation 25: 190490
Generation 26: 190490
Generation 27: 190490
Generation 28: 190490
Generation 29: 190490
Generation 30: 190490
Generation 31: 190490
Generation 32: 190490
Generation 33: 190490
Generation 34: 190490
Generation 35: 190490
Generation 36: 190490
Generation 37: 190490
Generation 38: 190490
Generation 39: 190490
Generation 40: 190490
Generation 41: 190490
Generation 42: 190490
Generation 43: 190490
Generation 44: 190490
Generation 45: 190490
Generation 46: 190490
Generation 47: 190490
Generation 48: 190490
Generation 49: 190490
Generation 50: 190490
Generation 51: 190490
Generation 52: 190490
Generation 53: 190490
Generation 54: 190490
Generation 55: 190490
Generation 56: 190490
Generation 57: 190490
Generation 58: 190490
Generation 59: 190490
Generation 60: 190490
Generation 61: 190490
Generation 62: 190490
Generation 63: 190490
Generation 64: 190490
Generation 65: 190490
Generation 66: 190490
Generation 67: 190490
Generation 68: 190490
Generation 69: 190490
Generation 70: 190490
Generation 71: 190490
Generation 72: 190490
Generation 73: 190490
Generation 74: 190490
Generation 75: 190490
Generation 76: 190490
Generation 77: 190490
Generation 78: 190490
Generation 79: 190490
Generation 80: 190490
Generation 81: 190490
Generation 82: 190490
Generation 83: 190490
Generation 84: 190490
Generation 85: 190490
Generation 86: 190490
Generation 87: 190490
Generation 88: 190490
Generation 89: 190490
Generation 90: 190490
Generation 91: 190490
Generation 92: 190490
Generation 93: 190490
Generation 94: 190490
Generation 95: 190490
Generation 96: 190490
Generation 97: 190490
Generation 98: 190490
Generation 99: 190490
Generation 100: 190490
Generation 101: 190490
Generation 102: 190490
Generation 103: 190490
Generation 104: 190490
Generation 105: 190490
Generation 106: 190490
Generation 107: 190490
Generation 108: 190490
Generation 109: 190490
Generation 110: 190490
Generation 111: 190490
Generation 112: 190490
Generation 113: 190490
Generation 114: 190490
Generation 115: 190490
Generation 116: 190490
Generation 117: 190490
Generation 118: 190490
Generation 119: 190490
Generation 120: 190490
Generation 121: 190490
Generation 122: 190490
Generation 123: 190490
Generation 124: 190490
Generation 125: 190490
Generation 126: 190490
Generation 127: 190490
Generation 128: 190490
Generation 129: 190490
Generation 130: 190490
Generation 131: 190490
Generation 132: 190490
Generation 133: 190490
Generation 134: 190490
Generation 135: 190490
Generation 136: 190490
Generation 137: 190490
Generation 138: 190490
Generation 139: 190490
Generation 140: 190490
Generation 141: 190490
Generation 142: 190490
Generation 143: 190490
Generation 144: 190490
Generation 145: 190490
Generation 146: 190490
Generation 147: 140510
Generation 148: 140510
Generation 149: 140510
Generation 150: 140510
Generation 151: 140510
Generation 152: 140510
Generation 153: 140510
Generation 154: 140510
Generation 155: 140510
Generation 156: 140510
Generation 157: 140510
Generation 158: 140510
Generation 159: 140510
Generation 160: 140510
Generation 161: 140510
Generation 162: 140510
Generation 163: 140510
Generation 164: 140510
Generation 165: 140510
Generation 166: 140510
Generation 167: 140510
Generation 168: 140510
Generation 169: 140510
Generation 170: 140510
Generation 171: 140510
Generation 172: 140510
Generation 173: 140510
Generation 174: 140510
Generation 175: 140510
Generation 176: 140510
Generation 177: 140510
Generation 178: 140510
Generation 179: 140510
Generation 180: 140510
Generation 181: 140510
Generation 182: 140510
Generation 183: 140510
Generation 184: 140510
Generation 185: 140510
Generation 186: 140510
Generation 187: 140510
Generation 188: 140510
Generation 189: 140510
Generation 190: 140510
Generation 191: 140510
Generation 192: 140510
Generation 193: 140510
Generation 194: 140510
Generation 195: 140510
Generation 196: 140510
Generation 197: 140510
Generation 198: 140510
Generation 199: 140510
Generation 200: 140510
Generation 201: 140510
Generation 202: 140510
Generation 203: 140510
Generation 204: 140510
Generation 205: 140510
Generation 206: 140510
Generation 207: 140510
Generation 208: 140510
Generation 209: 140510
Generation 210: 140510
Generation 211: 140510
Generation 212: 140510
Generation 213: 140510
Generation 214: 140510
Generation 215: 140510
Generation 216: 140510
Generation 217: 140510
Generation 218: 140510
Generation 219: 140510
Generation 220: 140510
Generation 221: 140510
Generation 222: 140510
Generation 223: 140390
Generation 224: 140390
Generation 225: 140390
Generation 226: 140390
Generation 227: 140390
Generation 228: 140390
Generation 229: 140390
Generation 230: 140390
Generation 231: 140390
Generation 232: 140390
Generation 233: 140390
Generation 234: 140390
Generation 235: 140390
Generation 236: 140390
Generation 237: 140390
Generation 238: 140390
Generation 239: 140390
Generation 240: 140390
Generation 241: 140390
Generation 242: 140390
Generation 243: 140390
Generation 244: 140390
Generation 245: 140390
Generation 246: 140390
Generation 247: 140390
Generation 248: 140390
Generation 249: 140390
Generation 250: 140390
Generation 251: 140390
Generation 252: 140390
Generation 253: 140390
Generation 254: 140390
Generation 255: 140390
Generation 256: 140390
Generation 257: 140390
Generation 258: 140390
Generation 259: 140390
Generation 260: 140390
Generation 261: 140390
Generation 262: 140390
Generation 263: 140390
Generation 264: 140390
Generation 265: 140390
Generation 266: 140390
Generation 267: 140390
Generation 268: 140390
Generation 269: 140390
Generation 270: 140390
Generation 271: 140390
Generation 272: 140390
Generation 273: 110770
Generation 274: 110770
Generation 275: 110770
Generation 276: 110770
Generation 277: 110770
Generation 278: 110770
Generation 279: 110770
Generation 280: 110770
Generation 281: 110770
Generation 282: 110770
Generation 283: 110770
Generation 284: 110770
Generation 285: 110770
Generation 286: 110770
Generation 287: 110770
Generation 288: 110770
Generation 289: 110770
Generation 290: 110770
Generation 291: 110770
Generation 292: 110770
Generation 293: 110770
Generation 294: 110770
Generation 295: 110770
Generation 296: 110770
Generation 297: 110770
Generation 298: 110770
Generation 299: 110770
Generation 300: 110770
Generation 301: 110770
Generation 302: 110770
Generation 303: 110770
Generation 304: 110770
Generation 305: 110770
Generation 306: 110770
Generation 307: 110770
Generation 308: 110770
Generation 309: 110770
Generation 310: 110770
Generation 311: 110770
Generation 312: 110770
Generation 313: 110770
Generation 314: 110770
Generation 315: 110770
Generation 316: 110450
Generation 317: 110450
Generation 318: 110450
Generation 319: 110450
Generation 320: 110450
Generation 321: 110450
Generation 322: 110450
Generation 323: 110450
Generation 324: 110450
Generation 325: 110450
Generation 326: 110450
Generation 327: 110450
Generation 328: 110450
Generation 329: 110450
Generation 330: 110450
Generation 331: 110450
Generation 332: 110450
Generation 333: 110450
Generation 334: 110450
Generation 335: 110450
Generation 336: 110450
Generation 337: 110450
Generation 338: 110450
Generation 339: 110450
Generation 340: 110450
Generation 341: 110450
Generation 342: 110450
Generation 343: 110450
Generation 344: 110450
Generation 345: 110450
Generation 346: 110450
Generation 347: 110450
Generation 348: 110450
Generation 349: 110450
Generation 350: 100520
Generation 351: 100520
Generation 352: 100520
Generation 353: 100520
Generation 354: 100520
Generation 355: 100520
Generation 356: 100520
Generation 357: 100520
Generation 358: 100520
Generation 359: 100520
Generation 360: 100520
Generation 361: 100520
Generation 362: 100520
Generation 363: 100520
Generation 364: 100520
Generation 365: 100520
Generation 366: 100520
Generation 367: 100520
Generation 368: 100520
Generation 369: 100520
Generation 370: 100520
Generation 371: 100520
Generation 372: 100520
Generation 373: 90750
Generation 374: 90750
Generation 375: 90750
Generation 376: 90750
Generation 377: 90750
Generation 378: 90750
Generation 379: 90750
Generation 380: 90750
Generation 381: 90750
Generation 382: 90750
Generation 383: 90750
Generation 384: 90750
Generation 385: 90750
Generation 386: 90750
Generation 387: 90750
Generation 388: 90750
Generation 389: 90750
Generation 390: 90750
Generation 391: 90750
Generation 392: 90750
Generation 393: 90750
Generation 394: 90750
Generation 395: 90750
Generation 396: 90750
Generation 397: 90750
Generation 398: 90750
Generation 399: 90750
Generation 400: 90750
Generation 401: 90750
Generation 402: 90750
Generation 403: 90750
Generation 404: 90750
Generation 405: 90750
Generation 406: 90750
Generation 407: 90750
Generation 408: 90750
Generation 409: 90750
Generation 410: 90750
Generation 411: 90750
Generation 412: 90750
Generation 413: 90750
Generation 414: 90750
Generation 415: 90520
Generation 416: 90520
Generation 417: 90520
Generation 418: 90520
Generation 419: 90520
Generation 420: 90520
Generation 421: 90520
Generation 422: 90520
Generation 423: 90520
Generation 424: 90520
Generation 425: 90520
Generation 426: 90520
Generation 427: 90520
Generation 428: 90520
Generation 429: 90520
Generation 430: 90520
Generation 431: 90520
Generation 432: 90520
Generation 433: 90520
Generation 434: 90520
Generation 435: 90520
Generation 436: 90520
Generation 437: 90520
Generation 438: 90520
Generation 439: 90520
Generation 440: 90520
Generation 441: 90520
Generation 442: 80460
Generation 443: 80460
Generation 444: 80460
Generation 445: 80460
Generation 446: 80460
Generation 447: 80460
Generation 448: 80460
Generation 449: 80460
Generation 450: 80460
Generation 451: 80460
Generation 452: 80460
Generation 453: 80460
Generation 454: 80460
Generation 455: 80460
Generation 456: 80460
Generation 457: 80460
Generation 458: 80460
Generation 459: 80460
Generation 460: 80460
Generation 461: 80460
Generation 462: 80460
Generation 463: 80460
Generation 464: 80460
Generation 465: 80460
Generation 466: 80460
Generation 467: 80460
Generation 468: 80460
Generation 469: 80400
Generation 470: 80400
Generation 471: 80400
Generation 472: 80400
Generation 473: 80400
Generation 474: 80400
Generation 475: 80400
Generation 476: 80400
Generation 477: 80400
Generation 478: 80400
Generation 479: 80400
Generation 480: 80400
Generation 481: 80400
Generation 482: 80400
Generation 483: 80400
Generation 484: 80400
Generation 485: 80400
Generation 486: 80400
Generation 487: 80400
Generation 488: 80400
Generation 489: 80400
Generation 490: 80400
Generation 491: 80400
Generation 492: 80400
Generation 493: 80400
Generation 494: 80400
Generation 495: 80400
Generation 496: 80400
Generation 497: 80400
Generation 498: 80400
Generation 499: 80400
Generation 500: 80400
Generation 501: 80400
Generation 502: 80400
Generation 503: 80400
Generation 504: 80400
Generation 505: 80400
Generation 506: 80400
Generation 507: 80400
Generation 508: 80400
Generation 509: 80400
Generation 510: 80400
Generation 511: 80400
Generation 512: 80400
Generation 513: 80400
Generation 514: 80400
Generation 515: 80400
Generation 516: 80400
Generation 517: 80400
Generation 518: 80400
Generation 519: 80400
Generation 520: 80400
Generation 521: 80400
Generation 522: 80400
Generation 523: 80400
Generation 524: 80400
Generation 525: 80400
Generation 526: 80400
Generation 527: 80400
Generation 528: 80400
Generation 529: 80400
Generation 530: 80400
Generation 531: 80400
Generation 532: 80400
Generation 533: 80400
Generation 534: 80400
Generation 535: 80400
Generation 536: 80400
Generation 537: 80400
Generation 538: 80400
Generation 539: 80400
Generation 540: 80400
Generation 541: 80400
Generation 542: 80400
Generation 543: 80400
Generation 544: 80400
Generation 545: 80400
Generation 546: 80400
Generation 547: 80400
Generation 548: 80400
Generation 549: 80400
Generation 550: 80400
Generation 551: 80400
Generation 552: 80400
Generation 553: 80400
Generation 554: 80400
Generation 555: 70470
Generation 556: 70470
Generation 557: 70470
Generation 558: 70470
Generation 559: 70470
Generation 560: 70470
Generation 561: 70470
Generation 562: 70470
Generation 563: 70470
Generation 564: 70470
Generation 565: 70470
Generation 566: 70470
Generation 567: 70470
Generation 568: 70470
Generation 569: 70470
Generation 570: 70470
Generation 571: 70470
Generation 572: 70470
Generation 573: 70470
Generation 574: 70470
Generation 575: 70470
Generation 576: 70470
Generation 577: 70470
Generation 578: 70470
