Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,----,----,----,----
Tuesday,----,----,----,----,----,----,----,----,----,----
Wednesday,----,----,UCCD1024 (PRACTICAL) - Ts Lai Siew Cheng,cont.,----,----,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,UCCD1203 (PRACTICAL) - Dr Altahir Abdalla Altahir Mohammed,cont.
Thursday,----,UCCD1203 (PRACTICAL) - Puan Lyana Izzati Binti Mohd Asri,cont.,----,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng,cont.,----,----,----,----
Friday,UCCD1024 (PRACTICAL) - Ts Lai Siew Cheng,cont.,UCCD1024 (PRACTICAL) - Ts Lai Siew Cheng,cont.,Prayer,Prayer,----,----,----,----
