Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,UCCM1353 (TUTORIAL) - Ms Lim Shun Jinn,UCCM1363 (TUTORIAL) - Ms Song Poh Choo,----,----,----,----
Tuesday,----,----,----,----,----,----,----,----,----,----
Wednesday,UCCM1363 (TUTORIAL) - Ms Song Poh Choo,----,UCCM1353 (TUTORIAL) - Ms Lim Shun Jinn,----,UCCD2003 (TUTORIAL) - Dr Tahayna Bashar M. A.,----,----,----,----,----
Thursday,----,----,----,----,----,----,----,----,----,----
Friday,UCCD2003 (TUTORIAL) - Ts Dr Mogana a/p Vadiveloo,----,----,----,Prayer,Prayer,----,----,----,----
